
Note: No compatibility mode selected!


Circuit: * pre-silicon lumped-c go/no-go: control (no parasitics), ss 100c 1.6v

Doing analysis at TEMP = 100.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver
Note: Starting dynamic gmin stepping
Warning: Dynamic gmin stepping failed
Note: Starting true gmin stepping
Note: True gmin stepping completed

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
vpwr                                       1.6
en                                           0
x0_n0                                      1.6
x0_n30                                     1.6
x0_n1                              4.89366e-09
x0_n2                                      1.6
x0_n3                              4.89366e-09
x0_n4                                      1.6
x0_n5                              4.89366e-09
x0_n6                                      1.6
x0_n7                              4.89366e-09
x0_n8                                      1.6
x0_n9                              4.89366e-09
x0_n10                                     1.6
x0_n11                             4.89366e-09
x0_n12                                     1.6
x0_n13                             4.89366e-09
x0_n14                                     1.6
x0_n15                             4.89366e-09
x0_n16                                     1.6
x0_n17                             4.89366e-09
x0_n18                                     1.6
x0_n19                             4.89366e-09
x0_n20                                     1.6
x0_n21                             4.89366e-09
x0_n22                                     1.6
x0_n23                             4.89366e-09
x0_n24                                     1.6
x0_n25                             4.89366e-09
x0_n26                                     1.6
x0_n27                             4.89366e-09
x0_n28                                     1.6
x0_n29                             4.89366e-09
x0_out                             6.06323e-09
x1_n0                                      1.6
x1_n30                                     1.6
x1_n1                              4.89366e-09
x1_n2                                      1.6
x1_n3                              4.89366e-09
x1_n4                                      1.6
x1_n5                              4.89366e-09
x1_n6                                      1.6
x1_n7                              4.89366e-09
x1_n8                                      1.6
x1_n9                              4.89366e-09
x1_n10                                     1.6
x1_n11                             4.89366e-09
x1_n12                                     1.6
x1_n13                             4.89366e-09
x1_n14                                     1.6
x1_n15                             4.89366e-09
x1_n16                                     1.6
x1_n17                             4.89366e-09
x1_n18                                     1.6
x1_n19                             4.89366e-09
x1_n20                                     1.6
x1_n21                             4.89366e-09
x1_n22                                     1.6
x1_n23                             4.89366e-09
x1_n24                                     1.6
x1_n25                             4.89366e-09
x1_n26                                     1.6
x1_n27                             4.89366e-09
x1_n28                                     1.6
x1_n29                             4.89366e-09
x1_out                             6.06323e-09
x2_n0                                      1.6
x2_n30                                     1.6
x2_n1                              4.89366e-09
x2_n2                                      1.6
x2_n3                              4.89366e-09
x2_n4                                      1.6
x2_n5                              4.89366e-09
x2_n6                                      1.6
x2_n7                              4.89366e-09
x2_n8                                      1.6
x2_n9                              4.89366e-09
x2_n10                                     1.6
x2_n11                             4.89366e-09
x2_n12                                     1.6
x2_n13                             4.89366e-09
x2_n14                                     1.6
x2_n15                             4.89366e-09
x2_n16                                     1.6
x2_n17                             4.89366e-09
x2_n18                                     1.6
x2_n19                             4.89366e-09
x2_n20                                     1.6
x2_n21                             4.89366e-09
x2_n22                                     1.6
x2_n23                             4.89366e-09
x2_n24                                     1.6
x2_n25                             4.89366e-09
x2_n26                                     1.6
x2_n27                             4.89366e-09
x2_n28                                     1.6
x2_n29                             4.89366e-09
x2_out                             6.06323e-09
x3_n0                                      1.6
x3_n30                                     1.6
x3_n1                              4.89366e-09
x3_n2                                      1.6
x3_n3                              4.89366e-09
x3_n4                                      1.6
x3_n5                              4.89366e-09
x3_n6                                      1.6
x3_n7                              4.89366e-09
x3_n8                                      1.6
x3_n9                              4.89366e-09
x3_n10                                     1.6
x3_n11                             4.89366e-09
x3_n12                                     1.6
x3_n13                             4.89366e-09
x3_n14                                     1.6
x3_n15                             4.89366e-09
x3_n16                                     1.6
x3_n17                             4.89366e-09
x3_n18                                     1.6
x3_n19                             4.89366e-09
x3_n20                                     1.6
x3_n21                             4.89366e-09
x3_n22                                     1.6
x3_n23                             4.89366e-09
x3_n24                                     1.6
x3_n25                             4.89366e-09
x3_n26                                     1.6
x3_n27                             4.89366e-09
x3_n28                                     1.6
x3_n29                             4.89366e-09
x3_out                             6.06323e-09
x4_n0                                      1.6
x4_n30                                     1.6
x4_n1                              4.89366e-09
x4_n2                                      1.6
x4_n3                              4.89366e-09
x4_n4                                      1.6
x4_n5                              4.89366e-09
x4_n6                                      1.6
x4_n7                              4.89366e-09
x4_n8                                      1.6
x4_n9                              4.89366e-09
x4_n10                                     1.6
x4_n11                             4.89366e-09
x4_n12                                     1.6
x4_n13                             4.89366e-09
x4_n14                                     1.6
x4_n15                             4.89366e-09
x4_n16                                     1.6
x4_n17                             4.89366e-09
x4_n18                                     1.6
x4_n19                             4.89366e-09
x4_n20                                     1.6
x4_n21                             4.89366e-09
x4_n22                                     1.6
x4_n23                             4.89366e-09
x4_n24                                     1.6
x4_n25                             4.89366e-09
x4_n26                                     1.6
x4_n27                             4.89366e-09
x4_n28                                     1.6
x4_n29                             4.89366e-09
x4_out                             6.06323e-09
x5_n0                                      1.6
x5_n30                                     1.6
x5_n1                              4.89366e-09
x5_n2                                      1.6
x5_n3                              4.89366e-09
x5_n4                                      1.6
x5_n5                              4.89366e-09
x5_n6                                      1.6
x5_n7                              4.89366e-09
x5_n8                                      1.6
x5_n9                              4.89366e-09
x5_n10                                     1.6
x5_n11                             4.89366e-09
x5_n12                                     1.6
x5_n13                             4.89366e-09
x5_n14                                     1.6
x5_n15                             4.89366e-09
x5_n16                                     1.6
x5_n17                             4.89366e-09
x5_n18                                     1.6
x5_n19                             4.89366e-09
x5_n20                                     1.6
x5_n21                             4.89366e-09
x5_n22                                     1.6
x5_n23                             4.89366e-09
x5_n24                                     1.6
x5_n25                             4.89366e-09
x5_n26                                     1.6
x5_n27                             4.89366e-09
x5_n28                                     1.6
x5_n29                             4.89366e-09
x5_out                             6.06323e-09
x6_n0                                      1.6
x6_n30                                     1.6
x6_n1                              4.89366e-09
x6_n2                                      1.6
x6_n3                              4.89366e-09
x6_n4                                      1.6
x6_n5                              4.89366e-09
x6_n6                                      1.6
x6_n7                              4.89366e-09
x6_n8                                      1.6
x6_n9                              4.89366e-09
x6_n10                                     1.6
x6_n11                             4.89366e-09
x6_n12                                     1.6
x6_n13                             4.89366e-09
x6_n14                                     1.6
x6_n15                             4.89366e-09
x6_n16                                     1.6
x6_n17                             4.89366e-09
x6_n18                                     1.6
x6_n19                             4.89366e-09
x6_n20                                     1.6
x6_n21                             4.89366e-09
x6_n22                                     1.6
x6_n23                             4.89366e-09
x6_n24                                     1.6
x6_n25                             4.89366e-09
x6_n26                                     1.6
x6_n27                             4.89366e-09
x6_n28                                     1.6
x6_n29                             4.89366e-09
x6_out                             6.06323e-09
x7_n0                                      1.6
x7_n30                                     1.6
x7_n1                              4.89366e-09
x7_n2                                      1.6
x7_n3                              4.89366e-09
x7_n4                                      1.6
x7_n5                              4.89366e-09
x7_n6                                      1.6
x7_n7                              4.89366e-09
x7_n8                                      1.6
x7_n9                              4.89366e-09
x7_n10                                     1.6
x7_n11                             4.89366e-09
x7_n12                                     1.6
x7_n13                             4.89366e-09
x7_n14                                     1.6
x7_n15                             4.89366e-09
x7_n16                                     1.6
x7_n17                             4.89366e-09
x7_n18                                     1.6
x7_n19                             4.89366e-09
x7_n20                                     1.6
x7_n21                             4.89366e-09
x7_n22                                     1.6
x7_n23                             4.89366e-09
x7_n24                                     1.6
x7_n25                             4.89366e-09
x7_n26                                     1.6
x7_n27                             4.89366e-09
x7_n28                                     1.6
x7_n29                             4.89366e-09
x7_out                             6.06323e-09
x8_n0                                      1.6
x8_n30                                     1.6
x8_n1                              4.89366e-09
x8_n2                                      1.6
x8_n3                              4.89366e-09
x8_n4                                      1.6
x8_n5                              4.89366e-09
x8_n6                                      1.6
x8_n7                              4.89366e-09
x8_n8                                      1.6
x8_n9                              4.89366e-09
x8_n10                                     1.6
x8_n11                             4.89366e-09
x8_n12                                     1.6
x8_n13                             4.89366e-09
x8_n14                                     1.6
x8_n15                             4.89366e-09
x8_n16                                     1.6
x8_n17                             4.89366e-09
x8_n18                                     1.6
x8_n19                             4.89366e-09
x8_n20                                     1.6
x8_n21                             4.89366e-09
x8_n22                                     1.6
x8_n23                             4.89366e-09
x8_n24                                     1.6
x8_n25                             4.89366e-09
x8_n26                                     1.6
x8_n27                             4.89366e-09
x8_n28                                     1.6
x8_n29                             4.89366e-09
x8_out                             6.06323e-09
x9_n0                                      1.6
x9_n30                                     1.6
x9_n1                              4.89366e-09
x9_n2                                      1.6
x9_n3                              4.89366e-09
x9_n4                                      1.6
x9_n5                              4.89366e-09
x9_n6                                      1.6
x9_n7                              4.89366e-09
x9_n8                                      1.6
x9_n9                              4.89366e-09
x9_n10                                     1.6
x9_n11                             4.89366e-09
x9_n12                                     1.6
x9_n13                             4.89366e-09
x9_n14                                     1.6
x9_n15                             4.89366e-09
x9_n16                                     1.6
x9_n17                             4.89366e-09
x9_n18                                     1.6
x9_n19                             4.89366e-09
x9_n20                                     1.6
x9_n21                             4.89366e-09
x9_n22                                     1.6
x9_n23                             4.89366e-09
x9_n24                                     1.6
x9_n25                             4.89366e-09
x9_n26                                     1.6
x9_n27                             4.89366e-09
x9_n28                                     1.6
x9_n29                             4.89366e-09
x9_out                             6.06323e-09
x10_n0                                     1.6
x10_n30                                    1.6
x10_n1                             4.89366e-09
x10_n2                                     1.6
x10_n3                             4.89366e-09
x10_n4                                     1.6
x10_n5                             4.89366e-09
x10_n6                                     1.6
x10_n7                             4.89366e-09
x10_n8                                     1.6
x10_n9                             4.89366e-09
x10_n10                                    1.6
x10_n11                            4.89366e-09
x10_n12                                    1.6
x10_n13                            4.89366e-09
x10_n14                                    1.6
x10_n15                            4.89366e-09
x10_n16                                    1.6
x10_n17                            4.89366e-09
x10_n18                                    1.6
x10_n19                            4.89366e-09
x10_n20                                    1.6
x10_n21                            4.89366e-09
x10_n22                                    1.6
x10_n23                            4.89366e-09
x10_n24                                    1.6
x10_n25                            4.89366e-09
x10_n26                                    1.6
x10_n27                            4.89366e-09
x10_n28                                    1.6
x10_n29                            4.89366e-09
x10_out                            6.06323e-09
x11_n0                                     1.6
x11_n30                                    1.6
x11_n1                             4.89366e-09
x11_n2                                     1.6
x11_n3                             4.89366e-09
x11_n4                                     1.6
x11_n5                             4.89366e-09
x11_n6                                     1.6
x11_n7                             4.89366e-09
x11_n8                                     1.6
x11_n9                             4.89366e-09
x11_n10                                    1.6
x11_n11                            4.89366e-09
x11_n12                                    1.6
x11_n13                            4.89366e-09
x11_n14                                    1.6
x11_n15                            4.89366e-09
x11_n16                                    1.6
x11_n17                            4.89366e-09
x11_n18                                    1.6
x11_n19                            4.89366e-09
x11_n20                                    1.6
x11_n21                            4.89366e-09
x11_n22                                    1.6
x11_n23                            4.89366e-09
x11_n24                                    1.6
x11_n25                            4.89366e-09
x11_n26                                    1.6
x11_n27                            4.89366e-09
x11_n28                                    1.6
x11_n29                            4.89366e-09
x11_out                            6.06323e-09
x12_n0                                     1.6
x12_n30                                    1.6
x12_n1                             4.89366e-09
x12_n2                                     1.6
