run,ro,ring_cap_fF,bbox_w_um,bbox_h_um,centroid_x_um,centroid_y_um,armA_out_fF,armB_out_fF
block_p48_shipped,0,16.70,23.5,8.2,271.3,104.2,0.56,9.29
block_p48_shipped,1,14.44,22.5,8.2,286.5,92.2,0.98,2.89
block_p48_shipped,2,16.33,12.0,16.3,267.4,80.2,0.40,7.48
block_p48_shipped,3,16.57,13.8,13.6,256.4,116.7,0.24,12.97
block_p48_shipped,4,11.72,16.6,10.9,257.9,94.0,0.52,29.46
block_p48_shipped,5,12.15,17.9,13.6,283.0,81.3,0.95,26.05
block_p48_shipped,6,14.07,16.6,16.3,253.6,80.2,0.82,13.35
block_p48_shipped,7,10.86,19.8,10.9,290.1,102.5,1.76,5.40
block_p48_shipped,8,12.85,22.1,13.6,288.7,129.6,0.75,28.71
block_p48_shipped,9,13.60,14.3,13.6,286.8,117.5,0.79,25.79
block_p48_shipped,10,14.18,14.7,10.9,271.9,119.0,0.51,15.18
block_p48_shipped,11,11.93,18.4,10.9,259.9,129.7,0.66,7.47
block_p48_shipped,12,14.96,21.2,10.9,280.6,140.6,0.72,22.37
block_p48_shipped,13,14.16,15.2,13.6,256.8,142.1,0.31,6.14
block_p48_shipped,14,17.04,13.8,19.0,263.3,157.7,0.79,3.39
block_p48_shipped,15,12.97,19.3,13.6,297.1,142.0,2.71,15.43
interleaved_p48,0,12.35,20.7,10.9,137.9,52.6,0.47,16.48
interleaved_p48,1,10.53,19.3,8.2,137.8,31.2,0.41,10.28
interleaved_p48,2,11.85,21.2,8.2,159.7,31.4,0.92,13.06
interleaved_p48,3,10.89,24.8,8.2,164.3,50.9,0.72,18.30
interleaved_p48,4,12.76,22.5,10.9,135.3,62.7,1.23,13.95
interleaved_p48,5,14.54,17.5,10.9,138.8,41.9,0.54,7.28
interleaved_p48,6,9.35,26.2,5.4,163.2,41.5,0.73,8.85
interleaved_p48,7,11.07,25.8,10.9,164.7,60.4,0.88,13.34
interleaved_p48,8,12.20,17.0,8.2,137.3,75.1,0.65,13.99
interleaved_p48,9,36.03,125.6,2.7,67.3,62.6,2.23,8.28
interleaved_p48,10,11.91,27.1,5.4,161.4,68.8,0.75,10.32
interleaved_p48,11,9.92,23.9,5.4,163.4,78.5,1.00,16.48
interleaved_p48,12,11.65,20.7,8.2,137.1,85.8,0.45,18.02
interleaved_p48,13,11.59,17.9,10.9,137.1,96.0,0.35,14.39
interleaved_p48,14,10.11,23.5,5.4,167.0,86.9,1.30,8.32
interleaved_p48,15,18.17,19.3,13.6,167.3,97.5,1.74,16.20
interleaved_p52,0,14.26,20.7,10.9,145.4,12.1,0.53,16.54
interleaved_p52,1,13.68,19.3,13.6,127.0,11.6,1.02,7.06
interleaved_p52,2,12.69,22.1,8.2,167.7,12.8,3.59,14.13
interleaved_p52,3,10.55,23.5,8.2,157.7,21.5,1.07,17.09
interleaved_p52,4,30.66,106.3,19.0,56.5,63.3,0.70,10.68
interleaved_p52,5,14.65,19.3,13.6,137.0,27.8,0.40,6.61
interleaved_p52,6,12.39,28.1,8.2,156.7,30.2,0.94,14.62
interleaved_p52,7,11.20,24.8,10.9,165.9,34.8,2.44,17.33
interleaved_p52,8,22.26,55.2,16.3,107.4,60.3,0.49,12.02
interleaved_p52,9,13.47,11.5,16.3,131.9,39.8,1.13,6.12
interleaved_p52,10,15.25,18.9,10.9,153.3,45.6,1.57,16.41
interleaved_p52,11,15.21,14.7,13.6,170.3,44.7,3.59,21.45
interleaved_p52,12,11.95,23.0,8.2,150.0,56.2,0.49,13.99
interleaved_p52,13,13.73,25.8,10.9,131.4,62.7,0.50,5.40
interleaved_p52,14,13.08,20.2,10.9,166.6,59.6,1.35,14.81
interleaved_p52,15,13.65,40.5,5.4,180.3,65.4,1.55,18.67
