instance,macro,en_driver,en_cell,en_cap_fF,en_res,en_caps_grounded,en_caps_coupled,out_receiver,out_cell,out_cap_fF,out_res,out_caps_grounded,out_caps_coupled
0,u_rob0,_323_.X,and3_2,6.450,1,6,0,_468_.A1,a221o_2,18.987,3,6,0
1,u_rob1,_324_.X,and3_2,5.625,1,4,0,_467_.A1,a22o_2,10.232,3,9,0
2,u_rob2,_325_.X,and3_2,5.732,1,5,0,_467_.B2,a22o_2,1.515,1,5,0
3,u_rob3,_326_.X,and3_2,6.061,1,6,0,_468_.B2,a221o_2,3.314,1,6,0
4,u_rob4,_327_.X,and3_2,1.127,1,3,0,_463_.A1,a221o_2,23.059,4,13,0
5,u_rob5,_328_.X,and3_2,1.557,1,8,0,_462_.A1,a22o_2,14.381,1,7,0
6,u_rob6,_329_.X,and3_2,1.567,1,7,0,_462_.B2,a22o_2,5.175,1,5,0
7,u_rob7,_330_.X,and3_2,1.532,1,4,0,_463_.B2,a221o_2,5.953,1,7,0
8,u_rob8,_331_.X,and3_2,6.863,3,8,0,_461_.A1,a221o_2,45.390,3,15,0
9,u_rob9,_332_.X,and3_2,5.208,1,5,0,_460_.A1,a22o_2,19.379,4,14,0
10,u_rob10,_333_.X,and3_2,6.163,1,7,0,_460_.B2,a22o_2,9.572,3,9,0
11,u_rob11,_334_.X,and3_2,4.211,1,4,0,_461_.B2,a221o_2,6.193,2,8,0
12,u_rob12,_335_.X,and3_2,4.823,1,3,0,_466_.A1,a221o_2,26.674,3,13,0
13,u_rob13,_336_.X,and3_2,6.760,3,14,0,_465_.A1,a22o_2,12.652,1,16,0
14,u_rob14,_337_.X,and3_2,8.838,1,14,0,_465_.B2,a22o_2,2.088,1,10,0
15,u_rob15,_338_.X,and3_2,7.271,2,11,0,_466_.B2,a221o_2,2.269,1,6,0
