ro,x_um,y_um,ring_cap_fF,freq_MHz,freq_ctrl_MHz
0,147.013,65.875,14.42,553.076,633.64
1,132.077,67.915,13.3,558.112,633.64
2,100.74,72.93,10.24,573.814,633.64
3,114.799,63.58,12.57,562.315,633.64
4,58.549,85.425,7.43,589.224,633.64
5,57.184,72.335,13.31,558.009,633.64
6,30.834,83.81,10.18,574.312,633.64
7,33.81,75.31,12.43,562.693,633.64
8,75.656,79.9,10.09,574.534,633.64
9,46.244,62.9,14.49,552.794,633.64
10,17.293,67.065,17.76,539.056,633.64
11,32.674,62.73,10.13,573.782,633.64
12,99.044,59.33,12.81,560.711,633.64
13,87.673,51.595,12.01,564.976,633.64
14,71.817,58.31,9.83,576.202,633.64
15,76.791,69.02,12.27,563.341,633.64
16,137.842,34.935,8.9,581.206,633.64
17,122.806,30.77,11.13,569.64,633.64
18,96.916,30.77,8.79,581.941,633.64
19,110.242,38.59,9.99,575.212,633.64
20,73.528,33.49,7.98,586.034,633.64
21,56.019,31.365,12.0,564.541,633.64
22,23.144,34.425,11.08,570.006,633.64
23,39.33,36.805,10.67,571.806,633.64
24,67.146,43.69,10.56,572.008,633.64
25,54.611,51.0,10.32,573.435,633.64
26,18.228,48.45,15.07,552.045,633.64
27,35.262,48.705,11.24,568.341,633.64
28,148.781,45.135,9.78,576.409,633.64
29,138.992,53.55,13.62,556.31,633.64
30,96.442,42.84,11.64,569.175,633.64
31,120.822,50.405,13.65,556.788,633.64
