instance,macro,en_driver,en_cell,en_cap_fF,en_res,en_caps_grounded,en_caps_coupled,out_receiver,out_cell,out_cap_fF,out_res,out_caps_grounded,out_caps_coupled
0,u_rob0,_270_.X,and3_2,6.252,1,11,0,_342_.A0,mux4_2,9.292,3,7,0
1,u_rob1,_271_.X,and3_2,8.435,3,4,0,_342_.A1,mux4_2,2.891,1,3,0
2,u_rob2,_272_.X,and3_2,5.898,1,7,0,_342_.A2,mux4_2,7.485,2,6,0
3,u_rob3,_273_.X,and3_2,6.048,3,3,0,_342_.A3,mux4_2,12.973,3,6,0
4,u_rob4,_274_.X,and3_2,1.787,1,8,0,_340_.A1,a221o_2,29.462,4,11,0
5,u_rob5,_275_.X,and3_2,5.845,2,6,0,_339_.A1,a22o_2,26.054,3,16,0
6,u_rob6,_276_.X,and3_2,1.887,1,5,0,_339_.B2,a22o_2,13.353,3,14,0
7,u_rob7,_277_.X,and3_2,1.002,1,3,0,_340_.B2,a221o_2,5.400,1,6,0
8,u_rob8,_278_.X,and3_2,7.704,1,5,0,_338_.A1,a221o_2,28.706,3,13,0
9,u_rob9,_279_.X,and3_2,7.658,3,8,0,_337_.A1,a22o_2,25.790,3,20,0
10,u_rob10,_280_.X,and3_2,12.810,3,14,0,_337_.B2,a22o_2,15.179,3,19,0
11,u_rob11,_281_.X,and3_2,4.457,1,8,0,_338_.B2,a221o_2,7.466,1,6,0
12,u_rob12,_282_.X,and3_2,5.645,2,4,0,_341_.A0,mux4_2,22.373,1,9,0
13,u_rob13,_283_.X,and3_2,7.165,3,11,0,_341_.A1,mux4_2,6.143,2,6,0
14,u_rob14,_284_.X,and3_2,9.765,3,10,0,_341_.A2,mux4_2,3.388,1,10,0
15,u_rob15,_285_.X,and3_2,6.143,1,10,0,_341_.A3,mux4_2,15.430,3,17,0
