 time            v(b_out)        time            v(u_puf_u_core_sel_ro) time            v(q)           
 0.00000000e+00  4.68653885e-09  0.00000000e+00  2.46749734e-09  0.00000000e+00  2.46749746e-09 
 2.57750000e-09  9.09171779e-01  2.57750000e-09 -9.00157145e-08  2.57750000e-09  2.49525578e-09 
 2.57850000e-09  9.50769471e-01  2.57850000e-09 -8.30678756e-08  2.57850000e-09  2.49847348e-09 
 2.57950000e-09  9.91979160e-01  2.57950000e-09 -6.78421541e-08  2.57950000e-09  2.50297411e-09 
 2.58050000e-09  1.03280759e+00  2.58050000e-09 -4.60979141e-08  2.58050000e-09  2.49990562e-09 
 2.58150000e-09  1.07326724e+00  2.58150000e-09 -2.53592907e-08  2.58150000e-09  2.48551724e-09 
 2.58250000e-09  1.11335695e+00  2.58250000e-09 -7.62344396e-09  2.58250000e-09  2.47113502e-09 
 2.75450000e-09  1.94958673e+00  2.75450000e-09  8.69910705e-01  2.75450000e-09 -8.72974427e-05 
 2.75550000e-09  1.94959835e+00  2.75550000e-09  9.32471409e-01  2.75550000e-09 -1.13945703e-04 
 2.75650000e-09  1.94960869e+00  2.75650000e-09  9.94119969e-01  2.75650000e-09 -1.29779454e-04 
 2.75750000e-09  1.94961942e+00  2.75750000e-09  1.05485654e+00  2.75750000e-09 -1.39467005e-04 
 2.75850000e-09  1.94962895e+00  2.75850000e-09  1.11473362e+00  2.75850000e-09 -1.51390603e-04 
 2.75950000e-09  1.94963890e+00  2.75950000e-09  1.17396952e+00  2.75950000e-09 -1.65917497e-04 
 2.87550000e-09  1.94992485e+00  2.87550000e-09  1.94993249e+00  2.87550000e-09  9.04371012e-01 
 2.87650000e-09  1.94992525e+00  2.87650000e-09  1.94993906e+00  2.87650000e-09  9.64411884e-01 
 2.87750000e-09  1.94992592e+00  2.87750000e-09  1.94994576e+00  2.87750000e-09  1.02409682e+00 
 2.87850000e-09  1.94992631e+00  2.87850000e-09  1.94995208e+00  2.87850000e-09  1.08678635e+00 
 2.87950000e-09  1.94992696e+00  2.87950000e-09  1.94995376e+00  2.87950000e-09  1.15652552e+00 
 2.88050000e-09  1.94992734e+00  2.88050000e-09  1.94995161e+00  2.88050000e-09  1.22975823e+00 
 3.11450000e-09  1.13315107e+00  3.11450000e-09  1.95000013e+00  3.11450000e-09  1.94999914e+00 
 3.11550000e-09  1.08109870e+00  3.11550000e-09  1.95000003e+00  3.11550000e-09  1.94999758e+00 
 3.11650000e-09  1.02934592e+00  3.11650000e-09  1.95000006e+00  3.11650000e-09  1.94999862e+00 
 3.11750000e-09  9.77794448e-01  3.11750000e-09  1.94999996e+00  3.11750000e-09  1.94999769e+00 
 3.11850000e-09  9.26421176e-01  3.11850000e-09  1.94999998e+00  3.11850000e-09  1.94999918e+00 
 3.11950000e-09  8.75157302e-01  3.11950000e-09  1.94999988e+00  3.11950000e-09  1.94999770e+00 
 3.43550000e-09  1.93304957e-04  3.43550000e-09  1.15694398e+00  3.43550000e-09  1.94994401e+00 
 3.43650000e-09  1.89205448e-04  3.43650000e-09  1.10507825e+00  3.43650000e-09  1.94994003e+00 
 3.43750000e-09  1.85331503e-04  3.43750000e-09  1.05245318e+00  3.43750000e-09  1.94993930e+00 
 3.43850000e-09  1.81396641e-04  3.43850000e-09  9.99038911e-01  3.43850000e-09  1.94994414e+00 
 3.43950000e-09  1.77681109e-04  3.43950000e-09  9.44868355e-01  3.43950000e-09  1.94995463e+00 
 3.44050000e-09  1.73907578e-04  3.44050000e-09  8.89925408e-01  3.44050000e-09  1.94997199e+00 
 3.69950000e-09  9.08148893e-01  3.69950000e-09  2.12907728e-06  3.69950000e-09  1.94999589e+00 
 3.70050000e-09  9.49756433e-01  3.70050000e-09  1.73469364e-06  3.70050000e-09  1.94999627e+00 
 3.70150000e-09  9.90975201e-01  3.70150000e-09  2.05182270e-06  3.70150000e-09  1.94999610e+00 
 3.70250000e-09  1.03181292e+00  3.70250000e-09  1.68120235e-06  3.70250000e-09  1.94999646e+00 
 3.70350000e-09  1.07228142e+00  3.70350000e-09  2.00457911e-06  3.70350000e-09  1.94999629e+00 
 3.70450000e-09  1.11238046e+00  3.70450000e-09  1.64205959e-06  3.70450000e-09  1.94999664e+00 
 3.87650000e-09  1.94958641e+00  3.87650000e-09  8.95879265e-01  3.87650000e-09  1.94987267e+00 
 3.87750000e-09  1.94959801e+00  3.87750000e-09  9.57898213e-01  3.87750000e-09  1.94976611e+00 
