 time            v(b_out)        time            v(u_puf_u_core_sel_ro) time            v(q)           
 0.00000000e+00  4.68653885e-09  0.00000000e+00  2.46749750e-09  0.00000000e+00  2.46749746e-09 
 2.57450000e-09  9.14896823e-01  2.57450000e-09  2.96823871e-09  2.57450000e-09  2.46768728e-09 
 2.57550000e-09  9.59200294e-01  2.57550000e-09  2.96761837e-09  2.57550000e-09  2.46768644e-09 
 2.57650000e-09  1.00262594e+00  2.57650000e-09  2.96710034e-09  2.57650000e-09  2.46768694e-09 
 2.57750000e-09  1.04585876e+00  2.57750000e-09  2.96671809e-09  2.57750000e-09  2.46768600e-09 
 2.57850000e-09  1.08932697e+00  2.57850000e-09  2.96525099e-09  2.57850000e-09  2.46768422e-09 
 2.57950000e-09  1.13319210e+00  2.57950000e-09  2.96259733e-09  2.57950000e-09  2.46768189e-09 
 2.94850000e-09  1.94995107e+00  2.94850000e-09  8.62264084e-01  2.94850000e-09 -8.26811298e-05 
 2.94950000e-09  1.94995160e+00  2.94950000e-09  9.24051030e-01  2.94950000e-09 -1.09717458e-04 
 2.95050000e-09  1.94995202e+00  2.95050000e-09  9.85014393e-01  2.95050000e-09 -1.26091335e-04 
 2.95150000e-09  1.94995262e+00  2.95150000e-09  1.04513907e+00  2.95150000e-09 -1.36147708e-04 
 2.95250000e-09  1.94995305e+00  2.95250000e-09  1.10446994e+00  2.95250000e-09 -1.47533853e-04 
 2.95350000e-09  1.94995354e+00  2.95350000e-09  1.16319980e+00  2.95350000e-09 -1.61504273e-04 
 3.06950000e-09  1.97406535e+00  3.06950000e-09  1.94991953e+00  3.06950000e-09  8.93342237e-01 
 3.07050000e-09  1.98109426e+00  3.07050000e-09  1.94992761e+00  3.07050000e-09  9.53586496e-01 
 3.07150000e-09  1.98766536e+00  3.07150000e-09  1.94993348e+00  3.07150000e-09  1.01318296e+00 
 3.07250000e-09  1.99392118e+00  3.07250000e-09  1.94994050e+00  3.07250000e-09  1.07510409e+00 
 3.07350000e-09  1.99983654e+00  3.07350000e-09  1.94994460e+00  3.07350000e-09  1.14324459e+00 
 3.07450000e-09  2.00548315e+00  3.07450000e-09  1.94994179e+00  3.07450000e-09  1.21655516e+00 
 3.11150000e-09  1.19720576e+00  3.11150000e-09  1.94981404e+00  3.11150000e-09  1.93896439e+00 
 3.11250000e-09  1.13816937e+00  3.11250000e-09  1.94982653e+00  3.11250000e-09  1.93996619e+00 
 3.11350000e-09  1.07919093e+00  3.11350000e-09  1.94983801e+00  3.11350000e-09  1.94075825e+00 
 3.11450000e-09  1.02026924e+00  3.11450000e-09  1.94984999e+00  3.11450000e-09  1.94158579e+00 
 3.11550000e-09  9.61374633e-01  3.11550000e-09  1.94986068e+00  3.11550000e-09  1.94222840e+00 
 3.11650000e-09  9.02517131e-01  3.11650000e-09  1.94987168e+00  3.11650000e-09  1.94291737e+00 
 3.65350000e-09 -5.02395394e-03  3.65350000e-09  1.24336741e+00  3.65350000e-09  1.94990743e+00 
 3.65450000e-09 -6.20873701e-03  3.65450000e-09  1.16418007e+00  3.65450000e-09  1.94989018e+00 
 3.65550000e-09 -7.56484208e-03  3.65550000e-09  1.08387915e+00  3.65550000e-09  1.94987509e+00 
