 time            v(b_out)        time            v(u_puf_u_core_sel_ro) time            v(q)           
 0.00000000e+00  4.68653885e-09  0.00000000e+00  2.46749748e-09  0.00000000e+00  2.46749746e-09 
 2.57750000e-09  9.09978980e-01  2.57750000e-09  2.81539572e-09  2.57750000e-09  2.46763593e-09 
 2.57850000e-09  9.51166523e-01  2.57850000e-09  2.79115214e-09  2.57850000e-09  2.46773613e-09 
 2.57950000e-09  9.91829606e-01  2.57950000e-09  2.83178020e-09  2.57950000e-09  2.46782428e-09 
 2.58050000e-09  1.03200812e+00  2.58050000e-09  2.92029831e-09  2.58050000e-09  2.46786652e-09 
 2.58150000e-09  1.07176787e+00  2.58150000e-09  3.03289729e-09  2.58150000e-09  2.46783172e-09 
 2.58250000e-09  1.11120773e+00  2.58250000e-09  3.10079293e-09  2.58250000e-09  2.46770143e-09 
 2.72650000e-09  1.94971660e+00  2.72650000e-09  1.60126221e-03  2.72650000e-09 -1.67118075e-07 
 3.11450000e-09  1.13459540e+00  3.11450000e-09  3.10015572e-09  3.11450000e-09  2.66212768e-09 
 3.11550000e-09  1.08262553e+00  3.11550000e-09  2.42313650e-09  3.11550000e-09  2.27372837e-09 
 3.11650000e-09  1.03093829e+00  3.11650000e-09  3.07484599e-09  3.11650000e-09  2.66039357e-09 
 3.11750000e-09  9.79428629e-01  3.11750000e-09  2.41155368e-09  3.11750000e-09  2.27551561e-09 
 3.11850000e-09  9.28073082e-01  3.11850000e-09  3.05356906e-09  3.11850000e-09  2.65870409e-09 
 3.11950000e-09  8.76800589e-01  3.11950000e-09  2.42041365e-09  3.11950000e-09  2.27729907e-09 
 3.69950000e-09  9.07727938e-01  3.69950000e-09  7.63186137e-09  3.69950000e-09  2.26172081e-09 
 3.70050000e-09  9.48944852e-01  3.70050000e-09  7.04914696e-09  3.70050000e-09  2.67425043e-09 
 3.70150000e-09  9.89636001e-01  3.70150000e-09  7.52372156e-09  3.70150000e-09  2.26326541e-09 
