 time            v(b_out)        time            v(u_puf_u_core_sel_ro) time            v(q)           
 0.00000000e+00  4.68653891e-09  0.00000000e+00  2.46749748e-09  0.00000000e+00  2.46749746e-09 
 2.57450000e-09  9.14880889e-01  2.57450000e-09  2.96825223e-09  2.57450000e-09  2.46768750e-09 
 2.57550000e-09  9.59184625e-01  2.57550000e-09  2.96760730e-09  2.57550000e-09  2.46768705e-09 
 2.57650000e-09  1.00261036e+00  2.57650000e-09  2.96703312e-09  2.57650000e-09  2.46768689e-09 
 2.57750000e-09  1.04584224e+00  2.57750000e-09  2.96660335e-09  2.57750000e-09  2.46768517e-09 
 2.57850000e-09  1.08930657e+00  2.57850000e-09  2.96554706e-09  2.57850000e-09  2.46768395e-09 
 2.57950000e-09  1.13316948e+00  2.57950000e-09  2.96324701e-09  2.57950000e-09  2.46768167e-09 
 2.89650000e-09  1.94993845e+00  2.89650000e-09  2.68003821e-03  2.89650000e-09 -2.61177215e-07 
 3.11150000e-09  1.19768785e+00  3.11150000e-09  2.35116404e-06  3.11150000e-09  3.37470785e-09 
 3.11250000e-09  1.13865091e+00  3.11250000e-09  2.30309657e-06  3.11250000e-09  1.59657793e-09 
 3.11350000e-09  1.07967146e+00  3.11350000e-09  2.28951038e-06  3.11350000e-09  3.73619313e-09 
 3.11450000e-09  1.02074932e+00  3.11450000e-09  2.24266475e-06  3.11450000e-09  2.07295797e-09 
 3.11550000e-09  9.61853516e-01  3.11550000e-09  2.22981153e-06  3.11550000e-09  3.48487361e-09 
 3.11650000e-09  9.02995000e-01  3.11650000e-09  2.18415931e-06  3.11650000e-09  1.64233582e-09 
 3.69650000e-09  9.13101096e-01  3.69650000e-09  3.71849735e-06  3.69650000e-09  1.04271303e-09 
 3.69750000e-09  9.58186843e-01  3.69750000e-09  3.42757390e-06  3.69750000e-09  2.07391976e-09 
 3.69850000e-09  1.00267026e+00  3.69850000e-09  3.16358935e-06  3.69850000e-09  1.17240884e-09 
 3.69950000e-09  1.04698960e+00  3.69950000e-09  2.91880338e-06  3.69950000e-09  2.20113683e-09 
 3.70050000e-09  1.09145495e+00  3.70050000e-09  2.69656541e-06  3.70050000e-09  1.29209687e-09 
 3.70150000e-09  1.13589660e+00  3.70150000e-09  2.49046803e-06  3.70150000e-09  2.33430308e-09 
 4.23350000e-09  1.20044590e+00  4.23350000e-09 -5.38776227e-07  4.23350000e-09  3.06953690e-09 
 4.23450000e-09  1.14140750e+00  4.23450000e-09 -5.05625988e-07  4.23450000e-09  1.86572602e-09 
 4.23550000e-09  1.08242320e+00  4.23550000e-09 -4.99480452e-07  4.23550000e-09  3.06370290e-09 
 4.23650000e-09  1.02350057e+00  4.23650000e-09 -4.67975325e-07  4.23650000e-09  1.87456251e-09 
 4.23750000e-09  9.64601606e-01  4.23750000e-09 -4.62856362e-07  4.23750000e-09  3.05250980e-09 
 4.23850000e-09  9.05742769e-01  4.23850000e-09 -4.32879105e-07  4.23850000e-09  1.88019156e-09 
 4.81850000e-09  9.10583713e-01  4.81850000e-09  3.73232562e-06  4.81850000e-09  1.14207893e-09 
 4.81950000e-09  9.55716581e-01  4.81950000e-09  3.43348190e-06  4.81950000e-09  1.96193345e-09 
 4.82050000e-09  1.00022134e+00  4.82050000e-09  3.17566290e-06  4.82050000e-09  1.27405658e-09 
 4.82150000e-09  1.04453894e+00  4.82150000e-09  2.92334222e-06  4.82150000e-09  2.08938306e-09 
 4.82250000e-09  1.08899521e+00  4.82250000e-09  2.70715164e-06  4.82250000e-09  1.39199330e-09 
 4.82350000e-09  1.13345192e+00  4.82350000e-09  2.49387363e-06  4.82350000e-09  2.22370722e-09 
 5.35550000e-09  1.20379495e+00  5.35550000e-09 -5.28000979e-07  5.35550000e-09  3.14282655e-09 
 5.35650000e-09  1.14475523e+00  5.35650000e-09 -4.98244892e-07  5.35650000e-09  1.79520204e-09 
 5.35750000e-09  1.08576504e+00  5.35750000e-09 -4.90661052e-07  5.35750000e-09  3.13663967e-09 
 5.35850000e-09  1.02684169e+00  5.35850000e-09 -4.62808923e-07  5.35850000e-09  1.80502185e-09 
 5.35950000e-09  9.67938919e-01  5.35950000e-09 -4.56412027e-07  5.35950000e-09  3.12976639e-09 
 5.36050000e-09  9.09079687e-01  5.36050000e-09 -4.30127210e-07  5.36050000e-09  1.81381521e-09 
 5.94050000e-09  9.08330182e-01  5.94050000e-09  3.74773406e-06  5.94050000e-09  1.12828907e-09 
 5.94150000e-09  9.53506608e-01  5.94150000e-09  3.44770766e-06  5.94150000e-09  1.97456279e-09 
 5.94250000e-09  9.98031565e-01  5.94250000e-09  3.18861429e-06  5.94250000e-09  1.25963340e-09 
 5.94350000e-09  1.04234863e+00  5.94350000e-09  2.93532440e-06  5.94350000e-09  2.10260076e-09 
 5.94450000e-09  1.08679650e+00  5.94450000e-09  2.71804222e-06  5.94450000e-09  1.37772238e-09 
 5.94550000e-09  1.13126523e+00  5.94550000e-09  2.50397373e-06  5.94550000e-09  2.23718100e-09 
 6.47750000e-09  1.20678701e+00  6.47750000e-09 -5.64594952e-07  6.47750000e-09  3.27015853e-09 
 6.47850000e-09  1.14774640e+00  6.47850000e-09 -5.27564939e-07  6.47850000e-09  1.70400161e-09 
 6.47950000e-09  1.08875130e+00  6.47950000e-09 -5.04621317e-07  6.47950000e-09  3.25173344e-09 
 6.48050000e-09  1.02982776e+00  6.48050000e-09 -4.70921525e-07  6.48050000e-09  1.70272924e-09 
 6.48150000e-09  9.70921901e-01  6.48150000e-09 -4.57997981e-07  6.48150000e-09  3.22476007e-09 
 6.48250000e-09  9.12062732e-01  6.48250000e-09 -4.29293532e-07  6.48250000e-09  1.70934250e-09 
 7.06250000e-09  9.06832656e-01  7.06250000e-09  3.75811222e-06  7.06250000e-09  1.05430270e-09 
 7.06350000e-09  9.52038555e-01  7.06350000e-09  3.46341380e-06  7.06350000e-09  2.04579936e-09 
 7.06450000e-09  9.96577546e-01  7.06450000e-09  3.19699955e-06  7.06450000e-09  1.18487825e-09 
 7.06550000e-09  1.04089467e+00  7.06550000e-09  2.94888153e-06  7.06550000e-09  2.17459423e-09 
 7.06650000e-09  1.08533690e+00  7.06650000e-09  2.72477371e-06  7.06650000e-09  1.30288047e-09 
 7.06750000e-09  1.12981274e+00  7.06750000e-09  2.51570823e-06  7.06750000e-09  2.30780012e-09 
 7.60050000e-09  1.14972688e+00  7.60050000e-09 -5.54088798e-07  7.60050000e-09  2.10813028e-09 
 7.60150000e-09  1.09072837e+00  7.60150000e-09 -5.38515814e-07  7.60150000e-09  3.44298157e-09 
 7.60250000e-09  1.03180444e+00  7.60250000e-09 -5.11310299e-07  7.60250000e-09  1.68457470e-09 
 7.60350000e-09  9.72896408e-01  7.60350000e-09 -4.97461381e-07  7.60350000e-09  3.68281877e-09 
 7.60450000e-09  9.14037101e-01  7.60450000e-09 -4.71699431e-07  7.60450000e-09  2.12689338e-09 
 7.60550000e-09  8.55198171e-01  7.60550000e-09 -4.59479400e-07  7.60550000e-09  3.42221673e-09 
 8.18450000e-09  9.04336810e-01  8.18450000e-09  3.76714398e-06  8.18450000e-09  9.59444801e-10 
 8.18550000e-09  9.49592385e-01  8.18550000e-09  3.47680568e-06  8.18550000e-09  2.14313584e-09 
 8.18650000e-09  9.94156230e-01  8.18650000e-09  3.20430929e-06  8.18650000e-09  1.08792841e-09 
 8.18750000e-09  1.03847371e+00  8.18750000e-09  2.96043606e-06  8.18750000e-09  2.27236752e-09 
 8.18850000e-09  1.08290692e+00  8.18850000e-09  2.73065379e-06  8.18850000e-09  1.20711668e-09 
 8.18950000e-09  1.12739260e+00  8.18950000e-09  2.52570549e-06  8.18950000e-09  2.40441245e-09 
 8.72250000e-09  1.15266449e+00  8.72250000e-09 -5.58942260e-07  8.72250000e-09  2.04798789e-09 
 8.72350000e-09  1.09366099e+00  8.72350000e-09 -5.39441137e-07  8.72350000e-09  3.53381746e-09 
 8.72450000e-09  1.03473627e+00  8.72450000e-09 -5.15063492e-07  8.72450000e-09  1.61160357e-09 
 8.72550000e-09  9.75825124e-01  8.72550000e-09 -4.98274671e-07  8.72550000e-09  3.77730680e-09 
 8.72650000e-09  9.16965472e-01  8.72650000e-09 -4.75918293e-07  8.72650000e-09  2.06386219e-09 
 8.72750000e-09  8.58122852e-01  8.72750000e-09 -4.59721597e-07  8.72750000e-09  3.51223517e-09 
 9.30650000e-09  9.01853107e-01  9.30650000e-09  3.77961871e-06  9.30650000e-09  8.44488923e-10 
 9.30750000e-09  9.47159960e-01  9.30750000e-09  3.49499844e-06  9.30750000e-09  2.25150015e-09 
 9.30850000e-09  9.91750257e-01  9.30850000e-09  3.21442808e-06  9.30850000e-09  9.73195802e-10 
 9.30950000e-09  1.03606982e+00  9.30950000e-09  2.97611360e-06  9.30950000e-09  2.64308392e-09 
 9.31050000e-09  1.08049444e+00  9.31050000e-09  2.73881679e-06  9.31050000e-09  1.42794843e-09 
 9.31150000e-09  1.12498851e+00  9.31150000e-09  2.53925066e-06  9.31150000e-09  2.60235983e-09 
 9.84450000e-09  1.15589545e+00  9.84450000e-09 -5.61203796e-07  9.84450000e-09  2.00166272e-09 
 9.84550000e-09  1.09688672e+00  9.84550000e-09 -5.39639452e-07  9.84550000e-09  3.63271335e-09 
 9.84650000e-09  1.03796127e+00  9.84650000e-09 -5.18190991e-07  9.84650000e-09  1.54504354e-09 
 9.84750000e-09  9.79046921e-01  9.84750000e-09 -4.98269914e-07  9.84750000e-09  3.88095650e-09 
 9.84850000e-09  9.20187071e-01  9.84850000e-09 -4.78451031e-07  9.84850000e-09  2.00676170e-09 
 9.84950000e-09  8.61340645e-01  9.84950000e-09 -4.60046709e-07  9.84950000e-09  3.60410379e-09 
 1.04285000e-08  8.99091622e-01  1.04285000e-08  3.79277684e-06  1.04285000e-08  7.53510254e-10 
 1.04295000e-08  9.44456623e-01  1.04295000e-08  3.51341291e-06  1.04295000e-08  2.34902614e-09 
 1.04305000e-08  9.89079879e-01  1.04305000e-08  3.22514037e-06  1.04305000e-08  8.80573447e-10 
 1.04315000e-08  1.03340401e+00  1.04315000e-08  2.99195186e-06  1.04315000e-08  2.72335948e-09 
 1.04325000e-08  1.07781433e+00  1.04325000e-08  2.74750873e-06  1.04325000e-08  1.30818273e-09 
 1.04335000e-08  1.12231433e+00  1.04335000e-08  2.55291154e-06  1.04335000e-08  2.67878236e-09 
 1.09665000e-08  1.15914086e+00  1.09665000e-08 -5.64383022e-07  1.09665000e-08  1.93849187e-09 
 1.09675000e-08  1.10012689e+00  1.09675000e-08 -5.39758180e-07  1.09675000e-08  4.13132989e-09 
 1.09685000e-08  1.04120064e+00  1.09685000e-08 -5.21255781e-07  1.09685000e-08  1.99055744e-09 
 1.09695000e-08  9.82283090e-01  1.09695000e-08 -4.98317353e-07  1.09695000e-08  4.13143292e-09 
 1.09705000e-08  9.23423061e-01  1.09705000e-08 -4.81408126e-07  1.09705000e-08  2.00151229e-09 
 1.09715000e-08  8.64572901e-01  1.09715000e-08 -4.60028396e-07  1.09715000e-08  3.71175007e-09 
 1.15505000e-08  8.96666554e-01  1.15505000e-08  3.80416370e-06  1.15505000e-08  7.24810489e-10 
 1.15515000e-08  9.42084072e-01  1.15515000e-08  3.52867737e-06  1.15515000e-08  2.37438635e-09 
 1.15525000e-08  9.86735472e-01  1.15525000e-08  3.23445842e-06  1.15525000e-08  8.51450799e-10 
 1.15535000e-08  1.03106381e+00  1.15535000e-08  3.00505067e-06  1.15535000e-08  2.74988649e-09 
 1.15545000e-08  1.07546535e+00  1.15545000e-08  2.75511491e-06  1.15545000e-08  1.27978611e-09 
 1.15555000e-08  1.11996985e+00  1.15555000e-08  2.56417360e-06  1.15555000e-08  2.70430350e-09 
 1.20885000e-08  1.16246004e+00  1.20885000e-08 -5.66663443e-07  1.20885000e-08  1.92140664e-09 
 1.20895000e-08  1.10344068e+00  1.20895000e-08 -5.40116956e-07  1.20895000e-08  4.15435558e-09 
 1.20905000e-08  1.04451353e+00  1.20905000e-08 -5.23445207e-07  1.20905000e-08  1.97335465e-09 
 1.20915000e-08  9.85592701e-01  1.20915000e-08 -4.98607663e-07  1.20915000e-08  4.15446488e-09 
 1.20925000e-08  9.26732482e-01  1.20925000e-08 -4.83512646e-07  1.20925000e-08  1.98405120e-09 
 1.20935000e-08  8.67878579e-01  1.20935000e-08 -4.60257067e-07  1.20935000e-08  3.73252218e-09 
