 time            v(b_out)        time            v(u_puf_u_core_sel_ro) time            v(q)           
 0.00000000e+00  4.68653885e-09  0.00000000e+00  2.46749735e-09  0.00000000e+00  2.46749746e-09 
 2.57850000e-09  9.42483181e-01  2.57850000e-09  2.96657790e-09  2.57850000e-09  2.46768950e-09 
 2.57950000e-09  9.78660915e-01  2.57950000e-09  2.96633718e-09  2.57950000e-09  2.46768461e-09 
 2.58050000e-09  1.01493471e+00  2.58050000e-09  2.96416891e-09  2.58050000e-09  2.46768161e-09 
 2.58150000e-09  1.05105138e+00  2.58150000e-09  2.96026659e-09  2.58150000e-09  2.46767845e-09 
 2.58250000e-09  1.08687119e+00  2.58250000e-09  2.94773700e-09  2.58250000e-09  2.46766702e-09 
 2.58350000e-09  1.12239265e+00  2.58350000e-09  2.94023819e-09  2.58350000e-09  2.46768189e-09 
 2.84150000e-09  1.94999910e+00  2.84150000e-09  8.36079966e-01  2.84150000e-09 -7.45878823e-05 
 2.84250000e-09  1.94999959e+00  2.84250000e-09  9.18551284e-01  2.84250000e-09 -1.22848042e-04 
 2.84350000e-09  1.94999920e+00  2.84350000e-09  9.99159461e-01  2.84350000e-09 -1.60589013e-04 
 2.84450000e-09  1.94999967e+00  2.84450000e-09  1.07785652e+00  2.84450000e-09 -1.81304550e-04 
 2.84550000e-09  1.94999928e+00  2.84550000e-09  1.15468351e+00  2.84550000e-09 -1.97372688e-04 
 2.84650000e-09  1.94999974e+00  2.84650000e-09  1.22983261e+00  2.84650000e-09 -2.20794166e-04 
 2.96050000e-09  1.95000007e+00  2.96050000e-09  1.94993304e+00  2.96050000e-09  8.60925704e-01 
 2.96150000e-09  1.94999999e+00  2.96150000e-09  1.94994003e+00  2.96150000e-09  9.21917781e-01 
 2.96250000e-09  1.95000007e+00  2.96250000e-09  1.94994617e+00  2.96250000e-09  9.81690921e-01 
 2.96350000e-09  1.94999987e+00  2.96350000e-09  1.94995270e+00  2.96350000e-09  1.04177879e+00 
 2.96450000e-09  1.95000009e+00  2.96450000e-09  1.94995968e+00  2.96450000e-09  1.10602317e+00 
 2.96550000e-09  1.95000003e+00  2.96550000e-09  1.94995543e+00  2.96550000e-09  1.17786484e+00 
 3.11450000e-09  1.14038639e+00  3.11450000e-09  1.94999908e+00  3.11450000e-09  1.94998810e+00 
 3.11550000e-09  1.08809627e+00  3.11550000e-09  1.94999907e+00  3.11550000e-09  1.94999475e+00 
 3.11650000e-09  1.03591108e+00  3.11650000e-09  1.94999912e+00  3.11650000e-09  1.94998981e+00 
 3.11750000e-09  9.83727712e-01  3.11750000e-09  1.94999910e+00  3.11750000e-09  1.94999606e+00 
 3.11850000e-09  9.31518140e-01  3.11850000e-09  1.94999914e+00  3.11850000e-09  1.94998897e+00 
 3.11950000e-09  8.79219256e-01  3.11950000e-09  1.94999911e+00  3.11950000e-09  1.94999307e+00 
 3.54750000e-09  1.63179368e-05  3.54750000e-09  1.14063689e+00  3.54750000e-09  1.94993778e+00 
 3.54850000e-09  1.49420178e-05  3.54850000e-09  1.08604137e+00  3.54850000e-09  1.94993480e+00 
 3.54950000e-09  1.46373585e-05  3.54950000e-09  1.03077813e+00  3.54950000e-09  1.94993612e+00 
 3.55050000e-09  1.48014201e-05  3.55050000e-09  9.74884540e-01  3.55050000e-09  1.94994381e+00 
 3.55150000e-09  1.51928204e-05  3.55150000e-09  9.18346941e-01  3.55150000e-09  1.94995796e+00 
 3.55250000e-09  1.52013532e-05  3.55250000e-09  8.61214803e-01  3.55250000e-09  1.94997944e+00 
 3.70050000e-09  9.45047277e-01  3.70050000e-09  2.26259438e-04  3.70050000e-09  1.94990704e+00 
 3.70150000e-09  9.82047317e-01  3.70150000e-09  2.20546532e-04  3.70150000e-09  1.94991048e+00 
 3.70250000e-09  1.01876875e+00  3.70250000e-09  2.15165674e-04  3.70250000e-09  1.94991251e+00 
 3.70350000e-09  1.05512557e+00  3.70350000e-09  2.09718913e-04  3.70350000e-09  1.94991576e+00 
 3.70450000e-09  1.09110800e+00  3.70450000e-09  2.04586186e-04  3.70450000e-09  1.94991764e+00 
 3.70550000e-09  1.12682174e+00  3.70550000e-09  1.99394426e-04  3.70550000e-09  1.94992072e+00 
 3.96250000e-09  1.94999983e+00  3.96250000e-09  8.41352793e-01  3.96250000e-09  1.95005022e+00 
 3.96350000e-09  1.94999963e+00  3.96350000e-09  9.23676806e-01  3.96350000e-09  1.94991748e+00 
 3.96450000e-09  1.94999984e+00  3.96450000e-09  1.00396089e+00  3.96450000e-09  1.94977514e+00 
 3.96550000e-09  1.94999964e+00  3.96550000e-09  1.08213561e+00  3.96550000e-09  1.94961731e+00 
 3.96650000e-09  1.94999982e+00  3.96650000e-09  1.15825808e+00  3.96650000e-09  1.94946345e+00 
 3.96750000e-09  1.94999963e+00  3.96750000e-09  1.23263299e+00  3.96750000e-09  1.94931298e+00 
 4.09550000e-09  1.94999954e+00  4.09550000e-09  1.94997233e+00  4.09550000e-09  1.19384730e+00 
 4.09650000e-09  1.94999998e+00  4.09650000e-09  1.95000360e+00  4.09650000e-09  1.13631349e+00 
 4.09750000e-09  1.95000044e+00  4.09750000e-09  1.95003541e+00  4.09750000e-09  1.07868643e+00 
 4.09850000e-09  1.95000108e+00  4.09850000e-09  1.95006435e+00  4.09850000e-09  1.02074882e+00 
 4.09950000e-09  1.95000165e+00  4.09950000e-09  1.95008405e+00  4.09950000e-09  9.62395668e-01 
 4.10050000e-09  1.95000251e+00  4.10050000e-09  1.95010013e+00  4.10050000e-09  9.03444926e-01 
 4.23650000e-09  1.14266807e+00  4.23650000e-09  1.94999928e+00  4.23650000e-09  2.72062011e-04 
 4.23750000e-09  1.09037283e+00  4.23750000e-09  1.94999908e+00  4.23750000e-09  2.53211793e-04 
 4.23850000e-09  1.03818670e+00  4.23850000e-09  1.94999929e+00  4.23850000e-09  2.55314506e-04 
 4.23950000e-09  9.86003898e-01  4.23950000e-09  1.94999908e+00  4.23950000e-09  2.37126399e-04 
 4.24050000e-09  9.33797929e-01  4.24050000e-09  1.94999930e+00  4.24050000e-09  2.39578689e-04 
 4.24150000e-09  8.81502870e-01  4.24150000e-09  1.94999909e+00  4.24150000e-09  2.21705889e-04 
 4.66950000e-09  1.63641240e-05  4.66950000e-09  1.14287432e+00  4.66950000e-09 -3.09286274e-06 
 4.67050000e-09  1.49664621e-05  4.67050000e-09  1.08830464e+00  4.67050000e-09 -1.24779884e-06 
 4.67150000e-09  1.46416217e-05  4.67150000e-09  1.03306513e+00  4.67150000e-09 -9.91765842e-08 
 4.67250000e-09  1.47918152e-05  4.67250000e-09  9.77197106e-01  4.67250000e-09  2.71723987e-06 
 4.67350000e-09  1.51899404e-05  4.67350000e-09  9.20682994e-01  4.67350000e-09  4.67769459e-06 
 4.67450000e-09  1.52033867e-05  4.67450000e-09  8.63575799e-01  4.67450000e-09  8.04536341e-06 
 4.82250000e-09  9.43854974e-01  4.82250000e-09  2.65620237e-04  4.82250000e-09  7.14335004e-06 
 4.82350000e-09  9.80865764e-01  4.82350000e-09  2.58030313e-04  4.82350000e-09  6.49028247e-06 
 4.82450000e-09  1.01759982e+00  4.82450000e-09  2.51576170e-04  4.82450000e-09  6.70544110e-06 
 4.82550000e-09  1.05396808e+00  4.82550000e-09  2.44404444e-04  4.82550000e-09  6.06814500e-06 
 4.82650000e-09  1.08996067e+00  4.82650000e-09  2.38331903e-04  4.82650000e-09  6.30223124e-06 
 4.82750000e-09  1.12568024e+00  4.82750000e-09  2.31552010e-04  4.82750000e-09  5.67882503e-06 
 5.08450000e-09  1.94999978e+00  5.08450000e-09  8.36807697e-01  5.08450000e-09 -7.58516603e-05 
 5.08550000e-09  1.94999953e+00  5.08550000e-09  9.19264661e-01  5.08550000e-09 -1.24767312e-04 
 5.08650000e-09  1.94999979e+00  5.08650000e-09  9.99860604e-01  5.08650000e-09 -1.61952216e-04 
 5.08750000e-09  1.94999956e+00  5.08750000e-09  1.07854720e+00  5.08750000e-09 -1.83431804e-04 
 5.08850000e-09  1.94999983e+00  5.08850000e-09  1.15536741e+00  5.08850000e-09 -1.99384435e-04 
 5.08950000e-09  1.94999960e+00  5.08950000e-09  1.23051317e+00  5.08950000e-09 -2.23050093e-04 
 5.20350000e-09  1.94999991e+00  5.20350000e-09  1.94993894e+00  5.20350000e-09  8.73334197e-01 
 5.20450000e-09  1.95000010e+00  5.20450000e-09  1.94994567e+00  5.20450000e-09  9.34102030e-01 
 5.20550000e-09  1.95000005e+00  5.20550000e-09  1.94995127e+00  5.20550000e-09  9.93852944e-01 
 5.20650000e-09  1.95000011e+00  5.20650000e-09  1.94995664e+00  5.20650000e-09  1.05462137e+00 
 5.20750000e-09  1.94999993e+00  5.20750000e-09  1.94996361e+00  5.20750000e-09  1.12033838e+00 
 5.20850000e-09  1.95000010e+00  5.20850000e-09  1.94995663e+00  5.20850000e-09  1.19326616e+00 
 5.35850000e-09  1.14410425e+00  5.35850000e-09  1.94999910e+00  5.35850000e-09  1.94998429e+00 
 5.35950000e-09  1.09180459e+00  5.35950000e-09  1.94999907e+00  5.35950000e-09  1.94997685e+00 
 5.36050000e-09  1.03961669e+00  5.36050000e-09  1.94999913e+00  5.36050000e-09  1.94998994e+00 
 5.36150000e-09  9.87433131e-01  5.36150000e-09  1.94999910e+00  5.36150000e-09  1.94998157e+00 
 5.36250000e-09  9.35228426e-01  5.36250000e-09  1.94999916e+00  5.36250000e-09  1.94999352e+00 
 5.36350000e-09  8.82934845e-01  5.36350000e-09  1.94999912e+00  5.36350000e-09  1.94998110e+00 
 5.79150000e-09  1.64381145e-05  5.79150000e-09  1.14416635e+00  5.79150000e-09  1.94993816e+00 
 5.79250000e-09  1.50097178e-05  5.79250000e-09  1.08961496e+00  5.79250000e-09  1.94993483e+00 
 5.79350000e-09  1.46441559e-05  5.79350000e-09  1.03439253e+00  5.79350000e-09  1.94993592e+00 
 5.79450000e-09  1.47746662e-05  5.79450000e-09  9.78541923e-01  5.79450000e-09  1.94994306e+00 
 5.79550000e-09  1.51789347e-05  5.79550000e-09  9.22043385e-01  5.79550000e-09  1.94995685e+00 
 5.79650000e-09  1.52057594e-05  5.79650000e-09  8.64951246e-01  5.79650000e-09  1.94997767e+00 
 5.94450000e-09  9.42246340e-01  5.94450000e-09  2.26463921e-04  5.94450000e-09  1.94990682e+00 
 5.94550000e-09  9.79267216e-01  5.94550000e-09  2.21074457e-04  5.94550000e-09  1.94991035e+00 
 5.94650000e-09  1.01601499e+00  5.94650000e-09  2.15356790e-04  5.94650000e-09  1.94991229e+00 
 5.94750000e-09  1.05240793e+00  5.94750000e-09  2.10226362e-04  5.94750000e-09  1.94991565e+00 
 5.94850000e-09  1.08842284e+00  5.94850000e-09  2.04764627e-04  5.94850000e-09  1.94991743e+00 
 5.94950000e-09  1.12415064e+00  5.94950000e-09  1.99882241e-04  5.94950000e-09  1.94992062e+00 
 6.20650000e-09  1.94999963e+00  6.20650000e-09  8.35129697e-01  6.20650000e-09  1.95006031e+00 
 6.20750000e-09  1.94999934e+00  6.20750000e-09  9.17599152e-01  6.20750000e-09  1.94992737e+00 
 6.20850000e-09  1.94999968e+00  6.20850000e-09  9.98038784e-01  6.20850000e-09  1.94978631e+00 
 6.20950000e-09  1.94999936e+00  6.20950000e-09  1.07637103e+00  6.20950000e-09  1.94962929e+00 
 6.21050000e-09  1.94999965e+00  6.21050000e-09  1.15263887e+00  6.21050000e-09  1.94947334e+00 
 6.21150000e-09  1.94999936e+00  6.21150000e-09  1.22713325e+00  6.21150000e-09  1.94932566e+00 
 6.33950000e-09  1.94999947e+00  6.33950000e-09  1.94997039e+00  6.33950000e-09  1.19807252e+00 
 6.34050000e-09  1.94999995e+00  6.34050000e-09  1.95000081e+00  6.34050000e-09  1.14053919e+00 
 6.34150000e-09  1.95000036e+00  6.34150000e-09  1.95003337e+00  6.34150000e-09  1.08292972e+00 
 6.34250000e-09  1.95000103e+00  6.34250000e-09  1.95006234e+00  6.34250000e-09  1.02501573e+00 
 6.34350000e-09  1.95000154e+00  6.34350000e-09  1.95008293e+00  6.34350000e-09  9.66702972e-01 
 6.34450000e-09  1.95000246e+00  6.34450000e-09  1.95009906e+00  6.34450000e-09  9.07795442e-01 
 6.48050000e-09  1.14652846e+00  6.48050000e-09  1.94999921e+00  6.48050000e-09  2.70605461e-04 
 6.48150000e-09  1.09422534e+00  6.48150000e-09  1.94999915e+00  6.48150000e-09  2.54917887e-04 
 6.48250000e-09  1.04203438e+00  6.48250000e-09  1.94999922e+00  6.48250000e-09  2.53950238e-04 
 6.48350000e-09  9.89853502e-01  6.48350000e-09  1.94999916e+00  6.48350000e-09  2.38898095e-04 
 6.48450000e-09  9.37650931e-01  6.48450000e-09  1.94999923e+00  6.48450000e-09  2.38316304e-04 
 6.48550000e-09  8.85362800e-01  6.48550000e-09  1.94999916e+00  6.48550000e-09  2.23600438e-04 
 6.91350000e-09  1.64594219e-05  6.91350000e-09  1.14683560e+00  6.91350000e-09 -2.99781332e-06 
 6.91450000e-09  1.50118148e-05  6.91450000e-09  1.09231540e+00  6.91450000e-09 -1.50809309e-06 
 6.91550000e-09  1.46574756e-05  6.91550000e-09  1.03712171e+00  6.91550000e-09 -1.24755285e-07 
 6.91650000e-09  1.47794035e-05  6.91650000e-09  9.81301864e-01  6.91650000e-09  2.40244043e-06 
 6.91750000e-09  1.51904039e-05  6.91750000e-09  9.24831650e-01  6.91750000e-09  4.59460745e-06 
 6.91850000e-09  1.52137759e-05  6.91850000e-09  8.67769280e-01  6.91850000e-09  7.71850087e-06 
 7.06650000e-09  9.41505982e-01  7.06650000e-09  2.65997751e-04  7.06650000e-09  6.99781815e-06 
 7.06750000e-09  9.78531685e-01  7.06750000e-09  2.58698545e-04  7.06750000e-09  6.66758902e-06 
 7.06850000e-09  1.01528588e+00  7.06850000e-09  2.51926688e-04  7.06850000e-09  6.55936926e-06 
 7.06950000e-09  1.05168659e+00  7.06950000e-09  2.45040029e-04  7.06950000e-09  6.24332548e-06 
 7.07050000e-09  1.08770835e+00  7.07050000e-09  2.38657276e-04  7.07050000e-09  6.15580747e-06 
 7.07150000e-09  1.12344037e+00  7.07150000e-09  2.32156924e-04  7.07150000e-09  5.85218460e-06 
 7.32850000e-09  1.94999958e+00  7.32850000e-09  8.31673845e-01  7.32850000e-09 -7.25374152e-05 
 7.32950000e-09  1.94999928e+00  7.32950000e-09  9.14241369e-01  7.32950000e-09 -1.22107360e-04 
 7.33050000e-09  1.94999966e+00  7.33050000e-09  9.94954317e-01  7.33050000e-09 -1.60438372e-04 
 7.33150000e-09  1.94999935e+00  7.33150000e-09  1.07375803e+00  7.33150000e-09 -1.82000481e-04 
 7.33250000e-09  1.94999972e+00  7.33250000e-09  1.15067785e+00  7.33250000e-09 -1.98380021e-04 
 7.33350000e-09  1.94999940e+00  7.33350000e-09  1.22591188e+00  7.33350000e-09 -2.21083191e-04 
 7.44750000e-09  1.94999984e+00  7.44750000e-09  1.94993869e+00  7.44750000e-09  8.69490269e-01 
 7.44850000e-09  1.95000007e+00  7.44850000e-09  1.94994519e+00  7.44850000e-09  9.30349162e-01 
 7.44950000e-09  1.94999998e+00  7.44950000e-09  1.94995097e+00  7.44950000e-09  9.90131608e-01 
 7.45050000e-09  1.95000010e+00  7.45050000e-09  1.94995640e+00  7.45050000e-09  1.05069360e+00 
 7.45150000e-09  1.94999988e+00  7.45150000e-09  1.94996339e+00  7.45150000e-09  1.11598202e+00 
 7.45250000e-09  1.95000007e+00  7.45250000e-09  1.94995681e+00  7.45250000e-09  1.18866891e+00 
 7.60250000e-09  1.14718246e+00  7.60250000e-09  1.94999907e+00  7.60250000e-09  1.94999151e+00 
 7.60350000e-09  1.09487718e+00  7.60350000e-09  1.94999909e+00  7.60350000e-09  1.94997987e+00 
 7.60450000e-09  1.04268422e+00  7.60450000e-09  1.94999910e+00  7.60450000e-09  1.94998720e+00 
 7.60550000e-09  9.90502757e-01  7.60550000e-09  1.94999913e+00  7.60550000e-09  1.94998073e+00 
 7.60650000e-09  9.38299698e-01  7.60650000e-09  1.94999913e+00  7.60650000e-09  1.94999160e+00 
 7.60750000e-09  8.86012301e-01  7.60750000e-09  1.94999914e+00  7.60750000e-09  1.94998063e+00 
 8.03550000e-09  1.65211628e-05  8.03550000e-09  1.14752431e+00  8.03550000e-09  1.94993851e+00 
 8.03650000e-09  1.50523084e-05  8.03650000e-09  1.09301490e+00  8.03650000e-09  1.94993489e+00 
 8.03750000e-09  1.46594362e-05  8.03750000e-09  1.03783133e+00  8.03750000e-09  1.94993572e+00 
 8.03850000e-09  1.47657470e-05  8.03850000e-09  9.82021625e-01  8.03850000e-09  1.94994239e+00 
 8.03950000e-09  1.51786311e-05  8.03950000e-09  9.25560374e-01  8.03950000e-09  1.94995583e+00 
 8.04050000e-09  1.52156405e-05  8.04050000e-09  8.68506329e-01  8.04050000e-09  1.94997616e+00 
 8.18850000e-09  9.40052366e-01  8.18850000e-09  2.26673867e-04  8.18850000e-09  1.94990668e+00 
 8.18950000e-09  9.77086959e-01  8.18950000e-09  2.21558625e-04  8.18950000e-09  1.94991015e+00 
 8.19050000e-09  1.01385334e+00  8.19050000e-09  2.15553903e-04  8.19050000e-09  1.94991217e+00 
 8.19150000e-09  1.05026909e+00  8.19150000e-09  2.10691197e-04  8.19150000e-09  1.94991545e+00 
 8.19250000e-09  1.08630422e+00  8.19250000e-09  2.04949561e-04  8.19250000e-09  1.94991732e+00 
 8.19350000e-09  1.12204453e+00  8.19350000e-09  2.00328510e-04  8.19350000e-09  1.94992044e+00 
 8.45050000e-09  1.94999963e+00  8.45050000e-09  8.30335376e-01  8.45050000e-09  1.95006788e+00 
 8.45150000e-09  1.94999925e+00  8.45150000e-09  9.12914996e-01  8.45150000e-09  1.94993484e+00 
 8.45250000e-09  1.94999969e+00  8.45250000e-09  9.93472988e-01  8.45250000e-09  1.94979493e+00 
 8.45350000e-09  1.94999928e+00  8.45350000e-09  1.07192491e+00  8.45350000e-09  1.94963846e+00 
 8.45450000e-09  1.94999965e+00  8.45450000e-09  1.14830571e+00  8.45450000e-09  1.94948099e+00 
 8.45550000e-09  1.94999928e+00  8.45550000e-09  1.22289255e+00  8.45550000e-09  1.94933535e+00 
 8.58450000e-09  1.94999988e+00  8.58450000e-09  1.94999890e+00  8.58450000e-09  1.14391978e+00 
 8.58550000e-09  1.95000026e+00  8.58550000e-09  1.95003164e+00  8.58550000e-09  1.08632311e+00 
 8.58650000e-09  1.95000096e+00  8.58650000e-09  1.95006074e+00  8.58650000e-09  1.02842724e+00 
 8.58750000e-09  1.95000144e+00  8.58750000e-09  1.95008196e+00  8.58750000e-09  9.70145627e-01 
 8.58850000e-09  1.95000238e+00  8.58850000e-09  1.95009823e+00  8.58850000e-09  9.11272122e-01 
 8.58950000e-09  1.95000326e+00  8.58950000e-09  1.95010698e+00  8.58950000e-09  8.51776792e-01 
 8.72450000e-09  1.14947204e+00  8.72450000e-09  1.94999908e+00  8.72450000e-09  2.70239544e-04 
 8.72550000e-09  1.09716258e+00  8.72550000e-09  1.94999912e+00  8.72550000e-09  2.56302684e-04 
 8.72650000e-09  1.04496570e+00  8.72650000e-09  1.94999910e+00  8.72650000e-09  2.53562895e-04 
 8.72750000e-09  9.92785035e-01  8.72750000e-09  1.94999914e+00  8.72750000e-09  2.40238810e-04 
 8.72850000e-09  9.40583409e-01  8.72850000e-09  1.94999913e+00  8.72850000e-09  2.37910046e-04 
 8.72950000e-09  8.88300674e-01  8.72950000e-09  1.94999916e+00  8.72950000e-09  2.25165102e-04 
 9.15750000e-09  1.66011206e-05  9.15750000e-09  1.14971558e+00  9.15750000e-09 -2.94167584e-06 
 9.15850000e-09  1.51173676e-05  9.15850000e-09  1.09523130e+00  9.15850000e-09 -1.67729278e-06 
 9.15950000e-09  1.46550810e-05  9.15950000e-09  1.04007098e+00  9.15950000e-09 -1.49329194e-07 
 9.16050000e-09  1.47424645e-05  9.16050000e-09  9.84286220e-01  9.16050000e-09  2.19914675e-06 
 9.16150000e-09  1.51535916e-05  9.16150000e-09  9.27848028e-01  9.16150000e-09  4.52408337e-06 
 9.16250000e-09  1.52126047e-05  9.16250000e-09  8.70818351e-01  9.16250000e-09  7.49702253e-06 
 9.31050000e-09  9.38420467e-01  9.31050000e-09  2.66271458e-04  9.31050000e-09  6.89927907e-06 
 9.31150000e-09  9.75464675e-01  9.31150000e-09  2.59181429e-04  9.31150000e-09  6.78861822e-06 
 9.31250000e-09  1.01224480e+00  9.31250000e-09  2.52180870e-04  9.31250000e-09  6.46040709e-06 
 9.31350000e-09  1.04867719e+00  9.31350000e-09  2.45499318e-04  9.31350000e-09  6.36295516e-06 
 9.31450000e-09  1.08472770e+00  9.31450000e-09  2.38893309e-04  9.31450000e-09  6.05650911e-06 
