 time            v(b_out)        time            v(u_puf_u_core_sel_ro) time            v(q)           
 0.00000000e+00  4.68653885e-09  0.00000000e+00  2.46749718e-09  0.00000000e+00  2.46749746e-09 
 2.57750000e-09  9.09174329e-01  2.57750000e-09  2.92981761e-09  2.57750000e-09  2.46767767e-09 
 2.57850000e-09  9.50772822e-01  2.57850000e-09  2.92088131e-09  2.57850000e-09  2.46768656e-09 
 2.57950000e-09  9.91983125e-01  2.57950000e-09  2.91798152e-09  2.57950000e-09  2.46769633e-09 
 2.58050000e-09  1.03281226e+00  2.58050000e-09  2.92300351e-09  2.58050000e-09  2.46770709e-09 
 2.58150000e-09  1.07327250e+00  2.58150000e-09  2.93570074e-09  2.58150000e-09  2.46771126e-09 
 2.58250000e-09  1.11336272e+00  2.58250000e-09  2.95444430e-09  2.58250000e-09  2.46771215e-09 
 2.83650000e-09  1.94988151e+00  2.83650000e-09  8.39054609e-01  2.83650000e-09 -6.97019861e-05 
 2.83750000e-09  1.94988311e+00  2.83750000e-09  9.09459816e-01  2.83750000e-09 -1.06276113e-04 
 2.83850000e-09  1.94988468e+00  2.83850000e-09  9.79319377e-01  2.83850000e-09 -1.33585792e-04 
 2.83950000e-09  1.94988620e+00  2.83950000e-09  1.04852613e+00  2.83950000e-09 -1.51083586e-04 
 2.84050000e-09  1.94988769e+00  2.84050000e-09  1.11713560e+00  2.84050000e-09 -1.63062747e-04 
 2.84150000e-09  1.94988913e+00  2.84150000e-09  1.18532911e+00  2.84150000e-09 -1.84128642e-04 
 2.95650000e-09  1.94995281e+00  2.95650000e-09  1.94987949e+00  2.95650000e-09  8.85421834e-01 
 2.95750000e-09  1.94995310e+00  2.95750000e-09  1.94988527e+00  2.95750000e-09  9.45831575e-01 
 2.95850000e-09  1.94995350e+00  2.95850000e-09  1.94989568e+00  2.95850000e-09  1.00541957e+00 
 2.95950000e-09  1.94995388e+00  2.95950000e-09  1.94989960e+00  2.95950000e-09  1.06687394e+00 
 2.96050000e-09  1.94995417e+00  2.96050000e-09  1.94991063e+00  2.96050000e-09  1.13386064e+00 
 2.96150000e-09  1.94995444e+00  2.96150000e-09  1.94990206e+00  2.96150000e-09  1.20712141e+00 
 3.11450000e-09  1.13381960e+00  3.11450000e-09  1.94999323e+00  3.11450000e-09  1.94997867e+00 
 3.11550000e-09  1.08176245e+00  3.11550000e-09  1.94999326e+00  3.11550000e-09  1.94998925e+00 
 3.11650000e-09  1.03000647e+00  3.11650000e-09  1.94999337e+00  3.11650000e-09  1.94997952e+00 
 3.11750000e-09  9.78452404e-01  3.11750000e-09  1.94999339e+00  3.11750000e-09  1.94999386e+00 
 3.11850000e-09  9.27077918e-01  3.11850000e-09  1.94999349e+00  3.11850000e-09  1.94997938e+00 
 3.11950000e-09  8.75813164e-01  3.11950000e-09  1.94999352e+00  3.11950000e-09  1.94998950e+00 
 3.56050000e-09  1.67491042e-05  3.56050000e-09  1.12820570e+00  3.56050000e-09  1.94995809e+00 
 3.56150000e-09  2.03606232e-05  3.56150000e-09  1.08422858e+00  3.56150000e-09  1.94995844e+00 
