 time            v(b_out)        time            v(u_puf_u_core_sel_ro) time            v(q)           
 0.00000000e+00  4.68653885e-09  0.00000000e+00  2.46749732e-09  0.00000000e+00  2.46749746e-09 
 2.57750000e-09  9.09984875e-01  2.57750000e-09  2.98351294e-09  2.57750000e-09  2.46769433e-09 
 2.57850000e-09  9.51173012e-01  2.57850000e-09  2.97622216e-09  2.57850000e-09  2.46766263e-09 
 2.57950000e-09  9.91836362e-01  2.57950000e-09  2.96863295e-09  2.57950000e-09  2.46767451e-09 
 2.58050000e-09  1.03201488e+00  2.58050000e-09  2.96141345e-09  2.58050000e-09  2.46767490e-09 
 2.58150000e-09  1.07177436e+00  2.58150000e-09  2.95819730e-09  2.58150000e-09  2.46769055e-09 
 2.58250000e-09  1.11121360e+00  2.58250000e-09  2.96424096e-09  2.58250000e-09  2.46770132e-09 
 2.87350000e-09  1.94995844e+00  2.87350000e-09  8.32280868e-01  2.87350000e-09 -6.99401164e-05 
 2.87450000e-09  1.94995872e+00  2.87450000e-09  9.14565677e-01  2.87450000e-09 -1.18875320e-04 
 2.87550000e-09  1.94995884e+00  2.87550000e-09  9.95117899e-01  2.87550000e-09 -1.57319980e-04 
 2.87650000e-09  1.94995912e+00  2.87650000e-09  1.07386428e+00  2.87650000e-09 -1.79020915e-04 
 2.87750000e-09  1.94995924e+00  2.87750000e-09  1.15079120e+00  2.87750000e-09 -1.95658209e-04 
 2.87850000e-09  1.94995951e+00  2.87850000e-09  1.22608555e+00  2.87850000e-09 -2.18998404e-04 
 2.99250000e-09  1.94996379e+00  2.99250000e-09  1.94993858e+00  2.99250000e-09  8.58492176e-01 
 2.99350000e-09  1.94995642e+00  2.99350000e-09  1.94994463e+00  2.99350000e-09  9.19548554e-01 
 2.99450000e-09  1.94994486e+00  2.99450000e-09  1.94995146e+00  2.99450000e-09  9.79353847e-01 
 2.99550000e-09  1.94993419e+00  2.99550000e-09  1.94995724e+00  2.99550000e-09  1.03936379e+00 
 2.99650000e-09  1.94992725e+00  2.99650000e-09  1.94996476e+00  2.99650000e-09  1.10337058e+00 
 2.99750000e-09  1.94992241e+00  2.99750000e-09  1.94996028e+00  2.99750000e-09  1.17497579e+00 
 3.11450000e-09  1.13481683e+00  3.11450000e-09  1.94999953e+00  3.11450000e-09  1.94996263e+00 
 3.11550000e-09  1.08284606e+00  3.11550000e-09  1.94999933e+00  3.11550000e-09  1.94997207e+00 
 3.11650000e-09  1.03115922e+00  3.11650000e-09  1.94999957e+00  3.11650000e-09  1.94996645e+00 
 3.11750000e-09  9.79650790e-01  3.11750000e-09  1.94999939e+00  3.11750000e-09  1.94997552e+00 
