 time            v(b_out)        time            v(u_puf_u_core_sel_ro) time            v(q)           
 0.00000000e+00  4.68653885e-09  0.00000000e+00  2.46749735e-09  0.00000000e+00  2.46749746e-09 
 1.00150000e-09  4.68661150e-09  1.00150000e-09  3.68790121e-05  1.00150000e-09  6.00721750e-04 
 2.57750000e-09  9.09165354e-01  2.57750000e-09  2.77507944e-09  2.57750000e-09  2.46800075e-09 
 2.57850000e-09  9.50762293e-01  2.57850000e-09  2.95361927e-09  2.57850000e-09  2.46798848e-09 
 2.57950000e-09  9.91971533e-01  2.57950000e-09  3.16501197e-09  2.57950000e-09  2.46793674e-09 
 2.58050000e-09  1.03279941e+00  2.58050000e-09  3.33860664e-09  2.58050000e-09  2.46775672e-09 
 2.58150000e-09  1.07325856e+00  2.58150000e-09  3.38028561e-09  2.58150000e-09  2.46748960e-09 
 2.58250000e-09  1.11334802e+00  2.58250000e-09  3.34079020e-09  2.58250000e-09  2.46740223e-09 
 3.11450000e-09  1.13416860e+00  3.11450000e-09  2.66031405e-09  3.11450000e-09  2.47151316e-09 
 3.11550000e-09  1.08210937e+00  3.11550000e-09  2.65654335e-09  3.11550000e-09  2.46371357e-09 
 3.11650000e-09  1.03035121e+00  3.11650000e-09  2.66934921e-09  3.11650000e-09  2.47148052e-09 
 3.11750000e-09  9.78793911e-01  3.11750000e-09  2.66130121e-09  3.11750000e-09  2.46372533e-09 
 3.11850000e-09  9.27415601e-01  3.11850000e-09  2.66597913e-09  3.11850000e-09  2.47141557e-09 
 3.11950000e-09  8.76145524e-01  3.11950000e-09  2.65407951e-09  3.11950000e-09  2.46375087e-09 
 3.69950000e-09  9.06742940e-01  3.69950000e-09  2.47406845e-09  3.69950000e-09  2.47088433e-09 
 3.70050000e-09  9.48363355e-01  3.70050000e-09  2.61816197e-09  3.70050000e-09  2.46477344e-09 
 3.70150000e-09  9.89594311e-01  3.70150000e-09  2.90368596e-09  3.70150000e-09  2.47092036e-09 
 3.70250000e-09  1.03044416e+00  3.70250000e-09  3.00556374e-09  3.70250000e-09  2.46446435e-09 
 3.70350000e-09  1.07092437e+00  3.70350000e-09  3.03412540e-09  3.70350000e-09  2.47031878e-09 
 3.70450000e-09  1.11103558e+00  3.70450000e-09  2.95157460e-09  3.70450000e-09  2.46424336e-09 
 4.23650000e-09  1.13727401e+00  4.23650000e-09  2.49647711e-09  4.23650000e-09  2.46999166e-09 
 4.23750000e-09  1.08519502e+00  4.23750000e-09  2.50040916e-09  4.23750000e-09  2.46511567e-09 
 4.23850000e-09  1.03342301e+00  4.23850000e-09  2.50595131e-09  4.23850000e-09  2.46997223e-09 
 4.23950000e-09  9.81853428e-01  4.23950000e-09  2.50569501e-09  4.23950000e-09  2.46511267e-09 
 4.24050000e-09  9.30467683e-01  4.24050000e-09  2.50265120e-09  4.24050000e-09  2.46992027e-09 
 4.24150000e-09  8.79190304e-01  4.24150000e-09  2.49827575e-09  4.24150000e-09  2.46512821e-09 
 4.82150000e-09  9.04659879e-01  4.82150000e-09  2.37007564e-09  4.82150000e-09  2.46956500e-09 
 4.82250000e-09  9.46300517e-01  4.82250000e-09  2.51685517e-09  4.82250000e-09  2.46605864e-09 
 4.82350000e-09  9.87550310e-01  4.82350000e-09  2.80024889e-09  4.82350000e-09  2.46960813e-09 
 4.82450000e-09  1.02841904e+00  4.82450000e-09  2.91319480e-09  4.82450000e-09  2.46574705e-09 
 4.82550000e-09  1.06891742e+00  4.82550000e-09  2.94629368e-09  4.82550000e-09  2.46901938e-09 
 4.82650000e-09  1.10904712e+00  4.82650000e-09  2.86873972e-09  4.82650000e-09  2.46549259e-09 
 5.35850000e-09  1.13909236e+00  5.35850000e-09  2.44434065e-09  5.35850000e-09  2.46951570e-09 
 5.35950000e-09  1.08700146e+00  5.35950000e-09  2.44925724e-09  5.35950000e-09  2.46555915e-09 
 5.36050000e-09  1.03522107e+00  5.36050000e-09  2.45377699e-09  5.36050000e-09  2.46950238e-09 
 5.36150000e-09  9.83644056e-01  5.36150000e-09  2.45544579e-09  5.36150000e-09  2.46555587e-09 
 5.36250000e-09  9.32253769e-01  5.36250000e-09  2.45008849e-09  5.36250000e-09  2.46945397e-09 
 5.36350000e-09  8.80971873e-01  5.36350000e-09  2.44606985e-09  5.36350000e-09  2.46556392e-09 
 5.94350000e-09  9.02895104e-01  5.94350000e-09  2.32883213e-09  5.94350000e-09  2.46842774e-09 
 5.94450000e-09  9.44552874e-01  5.94450000e-09  2.47772744e-09  5.94450000e-09  2.46718007e-09 
 5.94550000e-09  9.85818653e-01  5.94550000e-09  2.75921561e-09  5.94550000e-09  2.46848730e-09 
 5.94650000e-09  1.02670340e+00  5.94650000e-09  2.87983587e-09  5.94650000e-09  2.46686394e-09 
 5.94750000e-09  1.06721717e+00  5.94750000e-09  2.91470201e-09  5.94750000e-09  2.46790871e-09 
 5.94850000e-09  1.10736251e+00  5.94850000e-09  2.84018892e-09  5.94850000e-09  2.46658438e-09 
 6.48050000e-09  1.14177162e+00  6.48050000e-09  2.42178994e-09  6.48050000e-09  2.46927667e-09 
 6.48150000e-09  1.08966445e+00  6.48150000e-09  2.42669004e-09  6.48150000e-09  2.46578830e-09 
 6.48250000e-09  1.03787085e+00  6.48250000e-09  2.43096507e-09  6.48250000e-09  2.46926785e-09 
 6.48350000e-09  9.86283996e-01  6.48350000e-09  2.43350279e-09  6.48350000e-09  2.46578297e-09 
 6.48450000e-09  9.34886261e-01  6.48450000e-09  2.42756407e-09  6.48450000e-09  2.46922000e-09 
 6.48550000e-09  8.83598732e-01  6.48550000e-09  2.42433223e-09  6.48550000e-09  2.46578880e-09 
 7.06650000e-09  9.42765652e-01  7.06650000e-09  2.45333745e-09  7.06650000e-09  2.46912768e-09 
 7.06750000e-09  9.84047780e-01  7.06750000e-09  2.72819661e-09  7.06750000e-09  2.46654408e-09 
 7.06850000e-09  1.02494890e+00  7.06850000e-09  2.86624158e-09  7.06850000e-09  2.46882298e-09 
 7.06950000e-09  1.06547840e+00  7.06950000e-09  2.91473631e-09  7.06950000e-09  2.46600801e-09 
 7.07050000e-09  1.10563968e+00  7.07050000e-09  2.85236479e-09  7.07050000e-09  2.46849352e-09 
 7.07150000e-09  1.14542813e+00  7.07150000e-09  2.79991835e-09  7.07150000e-09  2.46600207e-09 
 7.60250000e-09  1.14382020e+00  7.60250000e-09  2.41001355e-09  7.60250000e-09  2.46908072e-09 
 7.60350000e-09  1.09170125e+00  7.60350000e-09  2.41467452e-09  7.60350000e-09  2.46597859e-09 
 7.60450000e-09  1.03989638e+00  7.60450000e-09  2.41902562e-09  7.60450000e-09  2.46907261e-09 
 7.60550000e-09  9.88302563e-01  7.60550000e-09  2.42212406e-09  7.60550000e-09  2.46597182e-09 
 7.60650000e-09  9.36898146e-01  7.60650000e-09  2.41576689e-09  7.60650000e-09  2.46902498e-09 
 7.60750000e-09  8.85606869e-01  7.60750000e-09  2.41299802e-09  7.60750000e-09  2.46597670e-09 
 8.18850000e-09  9.40810881e-01  8.18850000e-09  2.43768689e-09  8.18850000e-09  2.47020826e-09 
 8.18950000e-09  9.82110575e-01  8.18950000e-09  2.70676337e-09  8.18950000e-09  2.46546417e-09 
 8.19050000e-09  1.02303004e+00  8.19050000e-09  2.85538634e-09  8.19050000e-09  2.46991350e-09 
 8.19150000e-09  1.06357639e+00  8.19150000e-09  2.91041607e-09  8.19150000e-09  2.46495263e-09 
 8.19250000e-09  1.10375550e+00  8.19250000e-09  2.85345164e-09  8.19250000e-09  2.46955362e-09 
