 time            v(b_out)        time            v(u_puf_u_core_sel_ro) time            v(q)           
 0.00000000e+00  4.68653885e-09  0.00000000e+00  2.46749735e-09  0.00000000e+00  2.46749746e-09 
 2.57750000e-09  9.09987213e-01  2.57750000e-09  2.96562691e-09  2.57750000e-09  2.46768639e-09 
 2.57850000e-09  9.51175702e-01  2.57850000e-09  2.96520566e-09  2.57850000e-09  2.46768683e-09 
 2.57950000e-09  9.91839278e-01  2.57950000e-09  2.96485811e-09  2.57950000e-09  2.46768506e-09 
 2.58050000e-09  1.03201790e+00  2.58050000e-09  2.96448824e-09  2.58050000e-09  2.46768561e-09 
 2.58150000e-09  1.07177735e+00  2.58150000e-09  2.96401817e-09  2.58150000e-09  2.46768450e-09 
 2.58250000e-09  1.11121641e+00  2.58250000e-09  2.96345110e-09  2.58250000e-09  2.46768533e-09 
 3.11450000e-09  1.13472275e+00  3.11450000e-09 -1.20107951e-06  3.11450000e-09  2.70193168e-09 
 3.11550000e-09  1.08275250e+00  3.11550000e-09 -1.17592513e-06  3.11550000e-09  2.23274749e-09 
 3.11650000e-09  1.03106613e+00  3.11650000e-09 -1.14879864e-06  3.11650000e-09  2.69990652e-09 
 3.11750000e-09  9.79558380e-01  3.11750000e-09 -1.12475957e-06  3.11750000e-09  2.23475777e-09 
 3.11850000e-09  9.28205873e-01  3.11850000e-09 -1.09878777e-06  3.11850000e-09  2.69776707e-09 
 3.11950000e-09  8.76937067e-01  3.11950000e-09 -1.07581444e-06  3.11950000e-09  2.23670821e-09 
 3.69950000e-09  9.07770831e-01  3.69950000e-09  1.49517201e-06  3.69950000e-09  2.55464100e-09 
 3.70050000e-09  9.48988263e-01  3.70050000e-09  1.45707439e-06  3.70050000e-09  2.38249870e-09 
 3.70150000e-09  9.89678949e-01  3.70150000e-09  1.42193305e-06  3.70150000e-09  2.55413563e-09 
 3.70250000e-09  1.02988216e+00  3.70250000e-09  1.38568845e-06  3.70250000e-09  2.38320136e-09 
 3.70350000e-09  1.06966188e+00  3.70350000e-09  1.35230683e-06  3.70350000e-09  2.55361376e-09 
 3.70450000e-09  1.10911512e+00  3.70450000e-09  1.31782407e-06  3.70450000e-09  2.38388970e-09 
 4.23650000e-09  1.13768338e+00  4.23650000e-09 -1.17974317e-06  4.23650000e-09  2.08285283e-09 
 4.23750000e-09  1.08569506e+00  4.23750000e-09 -1.15076953e-06  4.23750000e-09  2.84935697e-09 
 4.23850000e-09  1.03399658e+00  4.23850000e-09 -1.12844347e-06  4.23850000e-09  2.08600370e-09 
 4.23950000e-09  9.82478497e-01  4.23950000e-09 -1.10064626e-06  4.23950000e-09  2.84623747e-09 
 4.24050000e-09  9.31120283e-01  4.24050000e-09 -1.07935176e-06  4.24050000e-09  2.08905765e-09 
 4.24150000e-09  8.79845788e-01  4.24150000e-09 -1.05269047e-06  4.24150000e-09  2.84287355e-09 
 4.82150000e-09  9.05734855e-01  4.82150000e-09  1.49681739e-06  4.82150000e-09  2.47459508e-09 
 4.82250000e-09  9.46978879e-01  4.82250000e-09  1.45974424e-06  4.82250000e-09  2.46219789e-09 
 4.82350000e-09  9.87694530e-01  4.82350000e-09  1.42347894e-06  4.82350000e-09  2.47461751e-09 
 4.82450000e-09  1.02792046e+00  4.82450000e-09  1.38823667e-06  4.82450000e-09  2.46237486e-09 
 4.82550000e-09  1.06771900e+00  4.82550000e-09  1.35375852e-06  4.82550000e-09  2.47462928e-09 
 4.82650000e-09  1.10718558e+00  4.82650000e-09  1.32025635e-06  4.82650000e-09  2.46253479e-09 
 5.35850000e-09  1.13986565e+00  5.35850000e-09 -1.18084783e-06  5.35850000e-09  2.13373924e-09 
 5.35950000e-09  1.08786363e+00  5.35950000e-09 -1.15231254e-06  5.35950000e-09  2.79864831e-09 
 5.36050000e-09  1.03615588e+00  5.36050000e-09 -1.12949391e-06  5.36050000e-09  2.13648976e-09 
 5.36150000e-09  9.84629866e-01  5.36150000e-09 -1.10212904e-06  5.36150000e-09  2.79590334e-09 
 5.36250000e-09  9.33267201e-01  5.36250000e-09 -1.08037983e-06  5.36250000e-09  2.13910301e-09 
 5.36350000e-09  8.81988296e-01  5.36350000e-09 -1.05414471e-06  5.36350000e-09  2.79298601e-09 
 5.94450000e-09  9.45232269e-01  5.94450000e-09  1.46227691e-06  5.94450000e-09  2.53575044e-09 
 5.94550000e-09  9.85969720e-01  5.94550000e-09  1.42534996e-06  5.94550000e-09  2.40140513e-09 
 5.94650000e-09  1.02621552e+00  5.94650000e-09  1.39065056e-06  5.94650000e-09  2.53536120e-09 
 5.94750000e-09  1.06603061e+00  5.94750000e-09  1.35552631e-06  5.94750000e-09  2.40197645e-09 
 5.94850000e-09  1.10550901e+00  5.94850000e-09  1.32255714e-06  5.94850000e-09  2.53495808e-09 
 5.94950000e-09  1.14477836e+00  5.94950000e-09  1.28914713e-06  5.94950000e-09  2.40253656e-09 
 6.48050000e-09  1.14240144e+00  6.48050000e-09 -1.18171352e-06  6.48050000e-09  2.19525481e-09 
 6.48150000e-09  1.09038494e+00  6.48150000e-09 -1.15362226e-06  6.48150000e-09  2.73732287e-09 
 6.48250000e-09  1.03866557e+00  6.48250000e-09 -1.13032968e-06  6.48250000e-09  2.19743496e-09 
 6.48350000e-09  9.87131600e-01  6.48350000e-09 -1.10341154e-06  6.48350000e-09  2.73509315e-09 
 6.48450000e-09  9.35763021e-01  6.48450000e-09 -1.08117025e-06  6.48450000e-09  2.19953844e-09 
 6.48550000e-09  8.84480171e-01  6.48550000e-09 -1.05536024e-06  6.48550000e-09  2.73268480e-09 
 7.06650000e-09  9.43757960e-01  7.06650000e-09  1.46342008e-06  7.06650000e-09  2.57572003e-09 
 7.06750000e-09  9.84513846e-01  7.06750000e-09  1.42610315e-06  7.06750000e-09  2.36161546e-09 
 7.06850000e-09  1.02477648e+00  7.06850000e-09  1.39174286e-06  7.06850000e-09  2.57503358e-09 
 7.06950000e-09  1.06460564e+00  7.06950000e-09  1.35623727e-06  7.06950000e-09  2.36248726e-09 
 7.07050000e-09  1.10409418e+00  7.07050000e-09  1.32360098e-06  7.07050000e-09  2.57433286e-09 
 7.07150000e-09  1.14336859e+00  7.07150000e-09  1.28981807e-06  7.07150000e-09  2.36334630e-09 
 7.60250000e-09  1.14411196e+00  7.60250000e-09 -1.18241813e-06  7.60250000e-09  2.25034819e-09 
 7.60350000e-09  1.09208600e+00  7.60350000e-09 -1.15471647e-06  7.60350000e-09  2.68247413e-09 
 7.60450000e-09  1.04035776e+00  7.60450000e-09 -1.13099739e-06  7.60450000e-09  2.25210950e-09 
 7.60550000e-09  9.88818677e-01  7.60550000e-09 -1.10445012e-06  7.60550000e-09  2.68075451e-09 
 7.60650000e-09  9.37445320e-01  7.60650000e-09 -1.08179850e-06  7.60650000e-09  2.25374480e-09 
 7.60750000e-09  8.86160147e-01  7.60750000e-09 -1.05635921e-06  7.60750000e-09  2.67884059e-09 
 8.18850000e-09  9.41791744e-01  8.18850000e-09  1.46480825e-06  8.18850000e-09  2.61438399e-09 
 8.18950000e-09  9.82572002e-01  8.18950000e-09  1.42708859e-06  8.18950000e-09  2.32309316e-09 
 8.19050000e-09  1.02285751e+00  8.19050000e-09  1.39306764e-06  8.19050000e-09  2.61343225e-09 
 8.19150000e-09  1.06270533e+00  8.19150000e-09  1.35716860e-06  8.19150000e-09  2.32424008e-09 
 8.19250000e-09  1.10220793e+00  8.19250000e-09  1.32486538e-06  8.19250000e-09  2.61246358e-09 
 8.19350000e-09  1.14148905e+00  8.19350000e-09  1.29069807e-06  8.19350000e-09  2.32537317e-09 
 8.72450000e-09  1.14671230e+00  8.72450000e-09 -1.18336962e-06  8.72450000e-09  2.31099317e-09 
 8.72550000e-09  1.09467188e+00  8.72550000e-09 -1.15616060e-06  8.72550000e-09  2.62200217e-09 
 8.72650000e-09  1.04292996e+00  8.72650000e-09 -1.13189476e-06  8.72650000e-09  2.31219749e-09 
 8.72750000e-09  9.91382943e-01  8.72750000e-09 -1.10583699e-06  8.72750000e-09  2.62074007e-09 
 8.72850000e-09  9.40002080e-01  8.72850000e-09 -1.08265476e-06  8.72850000e-09  2.31341668e-09 
 8.72950000e-09  8.88713394e-01  8.72950000e-09 -1.05769802e-06  8.72950000e-09  2.61949468e-09 
 9.31050000e-09  9.39629865e-01  9.31050000e-09  1.46692630e-06  9.31050000e-09  2.66775169e-09 
 9.31150000e-09  9.80436928e-01  9.31150000e-09  1.42860023e-06  9.31150000e-09  2.26992153e-09 
 9.31250000e-09  1.02074782e+00  9.31250000e-09  1.39508899e-06  9.31250000e-09  2.66646555e-09 
 9.31350000e-09  1.06061629e+00  9.31350000e-09  1.35859744e-06  9.31350000e-09  2.27140351e-09 
 9.31450000e-09  1.10013475e+00  9.31450000e-09  1.32679465e-06  9.31450000e-09  2.66516492e-09 
 9.31550000e-09  1.13942354e+00  9.31550000e-09  1.29204837e-06  9.31550000e-09  2.27287433e-09 
 9.84650000e-09  1.14945800e+00  9.84650000e-09 -1.18447722e-06  9.84650000e-09  2.37646769e-09 
 9.84750000e-09  1.09740236e+00  9.84750000e-09 -1.15781528e-06  9.84750000e-09  2.55671578e-09 
 9.84850000e-09  1.04564606e+00  9.84850000e-09 -1.13294779e-06  9.84850000e-09  2.37718684e-09 
 9.84950000e-09  9.94090725e-01  9.84950000e-09 -1.10742670e-06  9.84950000e-09  2.55594451e-09 
 9.85050000e-09  9.42702027e-01  9.85050000e-09 -1.08365585e-06  9.85050000e-09  2.37791803e-09 
 9.85150000e-09  8.91409531e-01  9.85150000e-09 -1.05922539e-06  9.85150000e-09  2.55518590e-09 
 1.04325000e-08  9.37180430e-01  1.04325000e-08  1.46917920e-06  1.04325000e-08  2.72989875e-09 
 1.04335000e-08  9.78018333e-01  1.04335000e-08  1.43019788e-06  1.04335000e-08  2.20795282e-09 
 1.04345000e-08  1.01835775e+00  1.04345000e-08  1.39723944e-06  1.04345000e-08  2.72817408e-09 
 1.04355000e-08  1.05825023e+00  1.04355000e-08  1.36010761e-06  1.04355000e-08  2.20987961e-09 
 1.04365000e-08  1.09778666e+00  1.04365000e-08  1.32884753e-06  1.04365000e-08  2.72643447e-09 
 1.04375000e-08  1.13708495e+00  1.04375000e-08  1.29347557e-06  1.04375000e-08  2.21179169e-09 
 1.09685000e-08  1.15189412e+00  1.09685000e-08 -1.18580634e-06  1.09685000e-08  2.45966386e-09 
 1.09695000e-08  1.09982485e+00  1.09695000e-08 -1.15982758e-06  1.09695000e-08  2.47382526e-09 
 1.09705000e-08  1.04805564e+00  1.09705000e-08 -1.13421017e-06  1.09705000e-08  2.45974885e-09 
 1.09715000e-08  9.96492762e-01  1.09715000e-08 -1.10935935e-06  1.09715000e-08  2.47369303e-09 
 1.09725000e-08  9.45097023e-01  1.09725000e-08 -1.08485518e-06  1.09725000e-08  2.45983656e-09 
 1.09735000e-08  8.93801068e-01  1.09735000e-08 -1.06108284e-06  1.09735000e-08  2.47356874e-09 
 1.15545000e-08  9.35224428e-01  1.15545000e-08  1.47118924e-06  1.15545000e-08  2.79133106e-09 
 1.15555000e-08  9.76087239e-01  1.15555000e-08  1.43161479e-06  1.15555000e-08  2.14690388e-09 
 1.15565000e-08  1.01644931e+00  1.15565000e-08  1.39915813e-06  1.15565000e-08  2.78903645e-09 
 1.15575000e-08  1.05636138e+00  1.15575000e-08  1.36144676e-06  1.15575000e-08  2.14927065e-09 
 1.15585000e-08  1.09591222e+00  1.15585000e-08  1.33067927e-06  1.15585000e-08  2.78682560e-09 
 1.15595000e-08  1.13522166e+00  1.15595000e-08  1.29474129e-06  1.15595000e-08  2.15160528e-09 
 1.20905000e-08  1.15490307e+00  1.20905000e-08 -1.18678074e-06  1.20905000e-08  2.50650239e-09 
 1.20915000e-08  1.10281687e+00  1.20915000e-08 -1.16115766e-06  1.20915000e-08  2.42720005e-09 
 1.20925000e-08  1.05103153e+00  1.20925000e-08 -1.13513869e-06  1.20925000e-08  2.50621784e-09 
 1.20935000e-08  9.99459184e-01  1.20935000e-08 -1.11063624e-06  1.20935000e-08  2.42743520e-09 
 1.20945000e-08  9.48054628e-01  1.20945000e-08 -1.08573942e-06  1.20945000e-08  2.50594051e-09 
 1.20955000e-08  8.96754356e-01  1.20955000e-08 -1.06230843e-06  1.20955000e-08  2.42767861e-09 
 1.26765000e-08  9.32881923e-01  1.26765000e-08  1.47361465e-06  1.26765000e-08  2.85486101e-09 
 1.26775000e-08  9.73775146e-01  1.26775000e-08  1.43334218e-06  1.26775000e-08  2.08362561e-09 
 1.26785000e-08  1.01416502e+00  1.26785000e-08  1.40147190e-06  1.26785000e-08  2.85206758e-09 
 1.26795000e-08  1.05410081e+00  1.26795000e-08  1.36308026e-06  1.26795000e-08  2.08660145e-09 
 1.26805000e-08  1.09367055e+00  1.26805000e-08  1.33288739e-06  1.26805000e-08  2.84949908e-09 
 1.26815000e-08  1.13298845e+00  1.26815000e-08  1.29628570e-06  1.26815000e-08  2.08937234e-09 
 1.31855000e-08  2.05291613e+00  1.31855000e-08 -2.16679504e-06  1.31855000e-08  2.35238207e-09 
 1.32125000e-08  1.15774016e+00  1.32125000e-08 -1.18809891e-06  1.32125000e-08  2.57147259e-09 
 1.32135000e-08  1.10563786e+00  1.32135000e-08 -1.16289463e-06  1.32135000e-08  2.36256753e-09 
 1.32145000e-08  1.05383710e+00  1.32145000e-08 -1.13639477e-06  1.32145000e-08  2.57064525e-09 
 1.32155000e-08  1.00225564e+00  1.32155000e-08 -1.11230304e-06  1.32155000e-08  2.36334757e-09 
 1.32165000e-08  9.50842633e-01  1.32165000e-08 -1.08693617e-06  1.32165000e-08  2.56982552e-09 
 1.32175000e-08  8.99538207e-01  1.32175000e-08 -1.06390789e-06  1.32175000e-08  2.36412839e-09 
 1.37985000e-08  9.30725153e-01  1.37985000e-08  1.47592133e-06  1.37985000e-08  2.92103108e-09 
 1.37995000e-08  9.71645510e-01  1.37995000e-08  1.43498954e-06  1.37995000e-08  2.01785194e-09 
 1.38005000e-08  1.01206014e+00  1.38005000e-08  1.40367255e-06  1.38005000e-08  2.91771801e-09 
 1.38015000e-08  1.05201790e+00  1.38015000e-08  1.36463942e-06  1.38015000e-08  2.02118344e-09 
 1.38025000e-08  1.09160411e+00  1.38025000e-08  1.33498650e-06  1.38025000e-08  2.91453195e-09 
 1.38035000e-08  1.13093171e+00  1.38035000e-08  1.29776093e-06  1.38035000e-08  2.02455402e-09 
 1.43345000e-08  1.16063908e+00  1.43345000e-08 -1.18933028e-06  1.43345000e-08  2.62877198e-09 
 1.43355000e-08  1.10852038e+00  1.43355000e-08 -1.16441341e-06  1.43355000e-08  2.30556468e-09 
 1.43365000e-08  1.05670381e+00  1.43365000e-08 -1.13756958e-06  1.43365000e-08  2.62744521e-09 
 1.43375000e-08  1.00511301e+00  1.43375000e-08 -1.11375996e-06  1.43375000e-08  2.30684816e-09 
 1.43385000e-08  9.53691361e-01  1.43385000e-08 -1.08805676e-06  1.43385000e-08  2.62612965e-09 
 1.43395000e-08  9.02382731e-01  1.43395000e-08 -1.06530530e-06  1.43395000e-08  2.30813108e-09 
 1.49205000e-08  9.28575778e-01  1.49205000e-08  1.47830885e-06  1.49205000e-08  2.98635877e-09 
