 time            v(b_out)        time            v(u_puf_u_core_sel_ro) time            v(q)           
 0.00000000e+00  4.68653885e-09  0.00000000e+00  2.46749735e-09  0.00000000e+00  2.46749746e-09 
 1.00150000e-09  4.68654229e-09  1.00150000e-09  3.68861706e-05  1.00150000e-09  6.00721591e-04 
 2.57750000e-09  9.09982553e-01  2.57750000e-09  2.98459008e-09  2.57750000e-09  2.46768606e-09 
 2.57850000e-09  9.51170378e-01  2.57850000e-09  2.97504904e-09  2.57850000e-09  2.46766052e-09 
 2.57950000e-09  9.91833548e-01  2.57950000e-09  2.96603586e-09  2.57950000e-09  2.46767218e-09 
 2.58050000e-09  1.03201201e+00  2.58050000e-09  2.95879543e-09  2.58050000e-09  2.46767795e-09 
 2.58150000e-09  1.07177157e+00  2.58150000e-09  2.95397384e-09  2.58150000e-09  2.46768700e-09 
 2.58250000e-09  1.11121104e+00  2.58250000e-09  2.96514324e-09  2.58250000e-09  2.46771331e-09 
 3.11450000e-09  1.13473076e+00  3.11450000e-09  2.88459490e-09  3.11450000e-09  2.50900667e-09 
 3.11550000e-09  1.08276054e+00  3.11550000e-09  2.56937921e-09  3.11550000e-09  2.42631781e-09 
 3.11650000e-09  1.03107374e+00  3.11650000e-09  2.88499813e-09  3.11650000e-09  2.50866722e-09 
 3.11750000e-09  9.79565084e-01  3.11750000e-09  2.57154625e-09  3.11750000e-09  2.42665249e-09 
 3.11850000e-09  9.28211167e-01  3.11850000e-09  2.89341784e-09  3.11850000e-09  2.50834092e-09 
 3.11950000e-09  8.76940490e-01  3.11950000e-09  2.58491789e-09  3.11950000e-09  2.42698273e-09 
 3.69950000e-09  9.07675440e-01  3.69950000e-09  2.66471573e-09  3.69950000e-09  2.45104415e-09 
 3.70050000e-09  9.48893388e-01  3.70050000e-09  2.71429906e-09  3.70050000e-09  2.48394222e-09 
 3.70150000e-09  9.89584726e-01  3.70150000e-09  2.64942585e-09  3.70150000e-09  2.45117077e-09 
 3.70250000e-09  1.02978878e+00  3.70250000e-09  2.70083778e-09  3.70250000e-09  2.48380527e-09 
 3.70350000e-09  1.06956940e+00  3.70350000e-09  2.63553984e-09  3.70350000e-09  2.45132931e-09 
 3.70450000e-09  1.10902366e+00  3.70450000e-09  2.70341421e-09  3.70450000e-09  2.48368992e-09 
 4.23650000e-09  1.13659528e+00  4.23650000e-09  2.77316575e-09  4.23650000e-09  2.50456450e-09 
 4.23750000e-09  1.08461388e+00  4.23750000e-09  2.34893133e-09  4.23750000e-09  2.43063675e-09 
 4.23850000e-09  1.03291967e+00  4.23850000e-09  2.76341583e-09  4.23850000e-09  2.50426668e-09 
 4.23950000e-09  9.81404673e-01  4.23950000e-09  2.35203679e-09  4.23950000e-09  2.43087789e-09 
 4.24050000e-09  9.30047422e-01  4.24050000e-09  2.77964912e-09  4.24050000e-09  2.50407528e-09 
 4.24150000e-09  8.78773370e-01  4.24150000e-09  2.37907410e-09  4.24150000e-09  2.43117049e-09 
 4.82150000e-09  9.06912147e-01  4.82150000e-09  2.59328931e-09  4.82150000e-09  2.45665738e-09 
 4.82250000e-09  9.48140085e-01  4.82250000e-09  2.60370986e-09  4.82250000e-09  2.47831455e-09 
 4.82350000e-09  9.88840797e-01  4.82350000e-09  2.58234933e-09  4.82350000e-09  2.45673809e-09 
 4.82450000e-09  1.02905337e+00  4.82450000e-09  2.59023031e-09  4.82450000e-09  2.47820958e-09 
 4.82550000e-09  1.06884103e+00  4.82550000e-09  2.57044247e-09  4.82550000e-09  2.45685600e-09 
 4.82650000e-09  1.10830027e+00  4.82650000e-09  2.60152266e-09  4.82650000e-09  2.47814708e-09 
 5.35850000e-09  1.13723412e+00  5.35850000e-09  2.73157558e-09  5.35850000e-09  2.50362658e-09 
 5.35950000e-09  1.08524860e+00  5.35950000e-09  2.31486769e-09  5.35950000e-09  2.43148990e-09 
 5.36050000e-09  1.03355160e+00  5.36050000e-09  2.73002176e-09  5.36050000e-09  2.50337595e-09 
 5.36150000e-09  9.82034262e-01  5.36150000e-09  2.30521957e-09  5.36150000e-09  2.43172998e-09 
 5.36250000e-09  9.30675683e-01  5.36250000e-09  2.72825468e-09  5.36250000e-09  2.50315996e-09 
 5.36350000e-09  8.79400314e-01  5.36350000e-09  2.32559794e-09  5.36350000e-09  2.43200876e-09 
 5.94350000e-09  9.06186018e-01  5.94350000e-09  2.55937893e-09  5.94350000e-09  2.45661463e-09 
 5.94450000e-09  9.47423443e-01  5.94450000e-09  2.55918092e-09  5.94450000e-09  2.47834991e-09 
 5.94550000e-09  9.88133072e-01  5.94550000e-09  2.54875532e-09  5.94550000e-09  2.45670551e-09 
 5.94650000e-09  1.02835375e+00  5.94650000e-09  2.54839144e-09  5.94650000e-09  2.47824516e-09 
 5.94750000e-09  1.06814815e+00  5.94750000e-09  2.53945126e-09  5.94750000e-09  2.45681869e-09 
 5.94850000e-09  1.10761215e+00  5.94850000e-09  2.56176158e-09  5.94850000e-09  2.47817644e-09 
 6.48050000e-09  1.13790558e+00  6.48050000e-09  2.69090988e-09  6.48050000e-09  2.50327170e-09 
 6.48150000e-09  1.08591614e+00  6.48150000e-09  2.27963481e-09  6.48150000e-09  2.43186182e-09 
 6.48250000e-09  1.03421653e+00  6.48250000e-09  2.70834161e-09  6.48250000e-09  2.50303972e-09 
 6.48350000e-09  9.82696927e-01  6.48350000e-09  2.29634883e-09  6.48350000e-09  2.43209231e-09 
 6.48450000e-09  9.31337130e-01  6.48450000e-09  2.71123934e-09  6.48450000e-09  2.50277477e-09 
 6.48550000e-09  8.80060541e-01  6.48550000e-09  2.30640723e-09  6.48550000e-09  2.43234960e-09 
 7.06550000e-09  9.05806786e-01  7.06550000e-09  2.53939342e-09  7.06550000e-09  2.45826176e-09 
 7.06650000e-09  9.47049156e-01  7.06650000e-09  2.52688376e-09  7.06650000e-09  2.47668885e-09 
 7.06750000e-09  9.87763444e-01  7.06750000e-09  2.52930243e-09  7.06750000e-09  2.45835657e-09 
 7.06850000e-09  1.02798837e+00  7.06850000e-09  2.52082344e-09  7.06850000e-09  2.47661158e-09 
 7.06950000e-09  1.06778629e+00  7.06950000e-09  2.52527316e-09  7.06950000e-09  2.45846088e-09 
 7.07050000e-09  1.10725281e+00  7.07050000e-09  2.53831739e-09  7.07050000e-09  2.47654025e-09 
 7.60250000e-09  1.13874296e+00  7.60250000e-09  2.69649419e-09  7.60250000e-09  2.50278914e-09 
 7.60350000e-09  1.08674818e+00  7.60350000e-09  2.28288310e-09  7.60350000e-09  2.43233622e-09 
 7.60450000e-09  1.03504493e+00  7.60450000e-09  2.69909683e-09  7.60450000e-09  2.50253163e-09 
 7.60550000e-09  9.83522214e-01  7.60550000e-09  2.28281616e-09  7.60550000e-09  2.43257636e-09 
 7.60650000e-09  9.32160629e-01  7.60650000e-09  2.69690087e-09  7.60650000e-09  2.50229859e-09 
