ro,x_um,y_um,ncells,ring_cap_fF
0,147.013,65.875,32,14.42
1,132.077,67.915,32,13.30
2,100.740,72.930,32,10.24
3,114.799,63.580,32,12.57
4,58.549,85.425,32,7.43
5,57.184,72.335,32,13.31
6,30.834,83.810,32,10.18
7,33.810,75.310,32,12.43
8,75.656,79.900,32,10.09
9,46.244,62.900,32,14.49
10,17.293,67.065,32,17.76
11,32.674,62.730,32,10.13
12,99.044,59.330,32,12.81
13,87.673,51.595,32,12.01
14,71.817,58.310,32,9.83
15,76.791,69.020,32,12.27
16,137.842,34.935,32,8.90
17,122.806,30.770,32,11.13
18,96.916,30.770,32,8.79
19,110.242,38.590,32,9.99
20,73.528,33.490,32,7.98
21,56.019,31.365,32,12.00
22,23.144,34.425,32,11.08
23,39.330,36.805,32,10.67
24,67.146,43.690,32,10.56
25,54.611,51.000,32,10.32
26,18.228,48.450,32,15.07
27,35.262,48.705,32,11.24
28,148.781,45.135,32,9.78
29,138.992,53.550,32,13.62
30,96.442,42.840,32,11.64
31,120.822,50.405,32,13.65
